년도,격자코드,구분,총인구
2024,다라002569,to_in_001,0
2024,다라002570,to_in_001,5
2024,다라002574,to_in_001,5
2024,다라002584,to_in_001,5
2024,다라002585,to_in_001,5
2024,다라002607,to_in_001,0
2024,다라002613,to_in_001,0
2024,다라002619,to_in_001,5
2024,다라002621,to_in_001,5
2024,다라002622,to_in_001,5
2024,다라002693,to_in_001,5
2024,다라002702,to_in_001,5
2024,다라002745,to_in_001,5
2024,다라002746,to_in_001,5
2024,다라002747,to_in_001,8
2024,다라002830,to_in_001,8
2024,다라002831,to_in_001,18
2024,다라002832,to_in_001,5
2024,다라002857,to_in_001,0
2024,다라002858,to_in_001,8
2024,다라002868,to_in_001,5
2024,다라002869,to_in_001,8
2024,다라002896,to_in_001,8
2024,다라002897,to_in_001,8
2024,다라002937,to_in_001,8
2024,다라002951,to_in_001,8
2024,다라002952,to_in_001,8
2024,다라002953,to_in_001,5
2024,다라002954,to_in_001,13
2024,다라002955,to_in_001,5
2024,다라002956,to_in_001,5
2024,다라002963,to_in_001,8
2024,다라002991,to_in_001,8
2024,다라002992,to_in_001,5
2024,다라002994,to_in_001,5
2024,다라003078,to_in_001,8
2024,다라003182,to_in_001,5
2024,다라003199,to_in_001,8
2024,다라003200,to_in_001,5
2024,다라003201,to_in_001,33
2024,다라003202,to_in_001,13
2024,다라003203,to_in_001,5
2024,다라003204,to_in_001,13
2024,다라003215,to_in_001,8
2024,다라003318,to_in_001,0
2024,다라003398,to_in_001,18
2024,다라003399,to_in_001,0
2024,다라003400,to_in_001,5
2024,다라003401,to_in_001,5
2024,다라003402,to_in_001,8
2024,다라003405,to_in_001,5
2024,다라003451,to_in_001,5
2024,다라003455,to_in_001,99
2024,다라003461,to_in_001,582
2024,다라003463,to_in_001,8
2024,다라003476,to_in_001,13
2024,다라003477,to_in_001,5
2024,다라003507,to_in_001,8
2024,다라003512,to_in_001,0
2024,다라003514,to_in_001,5
2024,다라003515,to_in_001,8
2024,다라003516,to_in_001,5
2024,다라003527,to_in_001,5
2024,다라003568,to_in_001,0
2024,다라003569,to_in_001,5
2024,다라003570,to_in_001,0
2024,다라003571,to_in_001,5
2024,다라003572,to_in_001,5
2024,다라003573,to_in_001,0
2024,다라003581,to_in_001,5
2024,다라003584,to_in_001,5
2024,다라003600,to_in_001,0
2024,다라003610,to_in_001,5
2024,다라003611,to_in_001,8
2024,다라003618,to_in_001,5
2024,다라003677,to_in_001,0
2024,다라003679,to_in_001,5
2024,다라003686,to_in_001,5
2024,다라003699,to_in_001,0
2024,다라003700,to_in_001,5
2024,다라003701,to_in_001,5
2024,다라003831,to_in_001,5
2024,다라003849,to_in_001,8
2024,다라003850,to_in_001,8
2024,다라003851,to_in_001,5
2024,다라003862,to_in_001,8
2024,다라003869,to_in_001,0
2024,다라003870,to_in_001,5
2024,다라003921,to_in_001,23
2024,다라003922,to_in_001,8
2024,다라003952,to_in_001,5
2024,다라003953,to_in_001,5
