field_1,field_2,field_3,field_4
"2024",다다0000,in_age_018,"48"
"2024",다다0100,in_age_018,"33"
"2024",다다0200,in_age_018,"8"
"2024",다다0201,in_age_018,"8"
"2024",다다0300,in_age_018,"34"
"2024",다다0301,in_age_018,"28"
"2024",다다0302,in_age_018,"0"
"2024",다다0400,in_age_018,"88"
"2024",다다0401,in_age_018,"13"
"2024",다다0402,in_age_018,"8"
"2024",다다0500,in_age_018,"96"
"2024",다다0501,in_age_018,"5"
"2024",다다0502,in_age_018,"0"
"2024",다다0594,in_age_018,"8"
"2024",다다0595,in_age_018,"8"
"2024",다다0600,in_age_018,"128"
"2024",다다0601,in_age_018,"5"
"2024",다다0603,in_age_018,"5"
"2024",다다0677,in_age_018,"5"
"2024",다다0696,in_age_018,"5"
"2024",다다0699,in_age_018,"8"
"2024",다다0700,in_age_018,"43"
"2024",다다0701,in_age_018,"49"
"2024",다다0702,in_age_018,"108"
"2024",다다0703,in_age_018,"18"
"2024",다다0776,in_age_018,"5"
"2024",다다0777,in_age_018,"0"
"2024",다다0796,in_age_018,"5"
"2024",다다0797,in_age_018,"8"
"2024",다다0798,in_age_018,"5"
"2024",다다0799,in_age_018,"5"
"2024",다다0800,in_age_018,"43"
"2024",다다0801,in_age_018,"160"
"2024",다다0802,in_age_018,"233"
"2024",다다0803,in_age_018,"28"
"2024",다다0872,in_age_018,"5"
"2024",다다0873,in_age_018,"5"
"2024",다다0878,in_age_018,"8"
"2024",다다0897,in_age_018,"5"
"2024",다다0898,in_age_018,"5"
"2024",다다0899,in_age_018,"5"
"2024",다다0900,in_age_018,"135"
"2024",다다0901,in_age_018,"234"
"2024",다다0902,in_age_018,"224"
"2024",다다0903,in_age_018,"23"
"2024",다다0970,in_age_018,"5"
"2024",다다0971,in_age_018,"0"
"2024",다다0979,in_age_018,"0"
"2024",다다0990,in_age_018,"5"
"2024",다다0991,in_age_018,"5"
"2024",다다0992,in_age_018,"5"
"2024",다다0996,in_age_018,"5"
"2024",다다0997,in_age_018,"8"
"2024",다다0998,in_age_018,"8"
"2024",다다0999,in_age_018,"13"
"2024",다다1000,in_age_018,"88"
"2024",다다1001,in_age_018,"207"
"2024",다다1002,in_age_018,"260"
"2024",다다1003,in_age_018,"103"
