행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
서대문구,교습소,다독다독국어교습소,서울특별시 서대문구 세무서길 86,입시.검정 및 보습,보통교과,,20,20120829,20231018
서초구,학원,삼성영어방배직영학원,서울특별시 서초구 방배로 248,입시.검정 및 보습,보통교과,보습,150,20120824,20260614
강남구,학원,엠에스씨수학학원,서울특별시 강남구 영동대로50길 10,입시.검정 및 보습,보통교과,보습,70,20120824,20240714
도봉구,학원,와이에스학원,서울특별시 도봉구 도당로27길 58,입시.검정 및 보습,보통교과,보습,361,20120903,20260315
중랑구,교습소,솔루니신내논술교습소,서울특별시 중랑구 봉화산로 221,입시.검정 및 보습,보통교과,초등논술,28,20120904,20260705
관악구,학원,마중물제2관학원,서울특별시 관악구 은천로11길 7,입시.검정 및 보습,보통교과,보습,362,20120904,20250713
송파구,학원,디엠패션학원,서울특별시 송파구 송파대로 455,직업기술,산업기반기술,"의복,",225,20120905,20231018
금천구,학원,나인플러스전자설계교육학원,서울특별시 금천구 디지털로 121,직업기술,산업기반기술,전자,530,20120904,20260712
성북구,교습소,엘자[ELZA]영어교습소,서울특별시 성북구 삼양로 41,입시.검정 및 보습,보통교과,중등영어,6,20120823,20260802
도봉구,학원,필과수학원,서울특별시 도봉구 시루봉로 59,입시.검정 및 보습,보통교과,보습,180,20120906,20250608
강서구,교습소,오펜피아노교습소,서울특별시 강서구 양천로73길 80,예능(대),예능(중),,5,20120906,20260712
강서구,교습소,피지에스영어교습소,서울특별시 강서구 양천로 674,입시.검정 및 보습,보통교과,고등영어,4,20120906,20231018
강서구,교습소,뮤엠영어교습소,서울특별시 강서구 화곡로24길 44,입시.검정 및 보습,보통교과,초등A,49,20120822,20231018
송파구,교습소,꿈빛음악교습소,서울특별시 송파구 성내천로37길 37,예능(대),예능(중),"실용피아노1A(주4회,회50분)",63,20120907,20240505
강남구,교습소,수학마루교습소,서울특별시 강남구 삼성로 212,입시.검정 및 보습,보통교과,내신수학,15,20120903,20260607
양천구,교습소,신정시사영어교습소,서울특별시 양천구 목동남로4길 60,입시.검정 및 보습,보통교과,영어(초),27,20120830,20241215
관악구,학원,조이음악학원,서울특별시 관악구 남부순환로 1430,예능(대),예능(중),음악,486,20120905,20260329
강남구,학원,뉴(NEW)이선생수학전문학원,서울특별시 강남구 광평로10길 6,입시.검정 및 보습,보통교과,"보습,",220,20120904,20231018
양천구,학원,맛있는국어수학쏠앤탁(Sol&Tak)학원,서울특별시 양천구 목동동로 339,입시.검정 및 보습,보통교과,"보습,",165,20120905,20231018
