행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
노원구,학원,국어의날개학원,서울특별시 노원구 동일로 1545,입시.검정 및 보습,보통교과,,8,20230331,20231018
강남구,학원,임지영발레2호점학원,서울특별시 강남구 삼성로 14,예능(대),예능(중),,60,20230330,20231018
양천구,학원,범연기학원,서울특별시 양천구 목동로 177,기타(대),기타(중),,40,20230331,20250928
서초구,교습소,한우리서초잠원논술교습소,서울특별시 서초구 잠원로 148,입시.검정 및 보습,보통교과,,42,20230330,20231018
도봉구,교습소,우리말들꽃샘의신박한독서논술교습소,서울특별시 도봉구 도봉로131길 90,입시.검정 및 보습,보통교과,,27,20230403,20231018
노원구,학원,러셀중계내신관학원,서울특별시 노원구 한글비석로8길 29,입시.검정 및 보습,보통교과,보습,5500,20230404,20260201
노원구,학원,원쌤수학학원,서울특별시 노원구 동일로207길 184,입시.검정 및 보습,보통교과,보습?논술,52,20230404,20260201
서초구,교습소,아지트(AZIT)국어교습소,서울특별시 서초구 남부순환로 2614,입시.검정 및 보습,보통교과,국어1,4,20230403,20250413
서초구,학원,자람영재수학학원,서울특별시 서초구 반포대로 300,입시.검정 및 보습,보통교과,,26,20230403,20231018
강남구,학원,지아이실용음악학원,서울특별시 강남구 논현로28길 50,기예(대),기예(중),,80,20230403,20250803
강남구,학원,더트리니티스파아카데미학원,서울특별시 강남구 언주로 866,직업기술,산업응용기술,,40,20230404,20260712
송파구,교습소,앤스잉글리쉬영어교습소,서울특별시 송파구 충민로2길 34,국제화,외국어,"초등영어(4주)(주2회, 회110분)",16,20230404,20250309
강남구,학원,아트모이스튜디오미술학원,서울특별시 강남구 논현로157길 14,예능(대),예능(중),,30,20230404,20251005
양천구,교습소,수학바라기수학교습소,서울특별시 양천구 목동서로 65,입시.검정 및 보습,보통교과,초등수학A,20,20230403,20250330
강동구,학원,삼성영어셀레나트윈클학원,서울특별시 강동구 구천면로 502,입시.검정 및 보습,보통교과,보습,40,20230405,20260215
종로구,학원,오디오아트아카데미학원,서울특별시 종로구 종로 80-2,기예(대),기예(중),실용음악(성악),30,20230405,20260607
광진구,학원,보컬플래닛실용음악학원,서울특별시 광진구 천호대로 576,기예(대),기예(중),실용음악(성악),0,20230403,20260614
광진구,학원,러닝보드원격학원,서울특별시 광진구 능동로 68,종합(대),,"진학상담지도,실용외국어(유아/초?중?고),",670,20230331,20240908
강남구,교습소,메종드아트스튜디오미술교습소,서울특별시 강남구 개포로110길 15,예능(대),예능(중),,9,20230405,20240707
강서구,교습소,아이엠그라운드엠시그니처관논술교습소,서울특별시 강서구 마곡중앙1로 20,입시.검정 및 보습,보통교과,논술2,8,20230405,20260329
강서구,교습소,생각재미사고력수학교습소,서울특별시 강서구 마곡중앙1로 20,입시.검정 및 보습,보통교과,,4,20230403,20231119
강서구,교습소,하이원수학교습소,서울특별시 강서구 마곡중앙1로 20,입시.검정 및 보습,보통교과,초등수학1,6,20230403,20240225
강남구,학원,대치스마트보카학원,서울특별시 강남구 선릉로64길 11-15,입시.검정 및 보습,보통교과,보습?논술,8,20230405,20251116
노원구,교습소,루다국어교습소,서울특별시 노원구 한글비석로52길 26,입시.검정 및 보습,보통교과,고등국어c,8,20230406,20250824
동대문구,학원,안상미국어학원,서울특별시 동대문구 답십리로 291-4,입시.검정 및 보습,보통교과,보습?논술,36,20230406,20260201
중랑구,학원,중화직업전문학원,서울특별시 중랑구 동일로 832,직업기술,산업응용기술,"식음료품(바리스타,소믈리에)",0,20230331,20260201
양천구,학원,잇올스파르타목동3독학관리학원,서울특별시 양천구 목동서로 349,입시.검정 및 보습,보통교과,보습,177,20230329,20260426
마포구,교습소,플라톤독서토론논술신석논술교습소,서울특별시 마포구 독막로28길 62,입시.검정 및 보습,보통교과,,18,20230406,20231018
용산구,학원,헤이미술학원,서울특별시 용산구 두텁바위로 51,예능(대),예능(중),,32,20230406,20231018
양천구,학원,이튼목동독학재수학원,서울특별시 양천구 오목로 217,입시.검정 및 보습,보통교과,보습,65,20230331,20260802
양천구,학원,손수학김과학2관학원,서울특별시 양천구 목동서로 349,입시.검정 및 보습,보통교과,,24,20230309,20231018
중구,학원,랄라키즈아트미술학원,서울특별시 중구 동호로10길 7,예능(대),예능(중),미술,40,20230407,20231119
강남구,학원,날개달기레전드학원,서울특별시 강남구 선릉로62길 37,입시.검정 및 보습,보통교과,,264,20230406,20241215
성북구,교습소,케이잉글리쉬(Kay English)영어교습소,서울특별시 성북구 오패산로 46,국제화,외국어,,9,20230406,20260201
마포구,학원,김종길국어논술마포2관학원,서울특별시 마포구 서강대길 3,입시.검정 및 보습,보통교과,보습?논술,270,20230407,20260201
동작구,교습소,피아노퍼스트음악교습소,서울특별시 동작구 동작대로35사길 3-2,예능(대),예능(중),,9,20230410,20231018
강동구,학원,상일본원Ⅱ와이즈리더영어독서전문학원,서울특별시 강동구 구천면로 656,입시.검정 및 보습,보통교과,보습,10,20230410,20250112
중구,학원,블랑쉬(Blanche)스튜디오발레학원,서울특별시 중구 세종대로 91,예능(대),예능(중),,40,20230410,20250209
강남구,학원,선물음악학원,서울특별시 강남구 삼성로 14,예능(대),예능(중),음악,82,20230407,20250223
강서구,학원,네모아트스튜디오미술학원,서울특별시 강서구 양천로73길 56-2,예능(대),예능(중),,70,20230410,20231018
강남구,학원,악어연기학원,서울특별시 강남구 강남대로152길 14,기타(대),기타(중),"연극,",130,20230410,20231018
영등포구,학원,엔트리영어학원,서울특별시 영등포구 신풍로25길 10,입시.검정 및 보습,보통교과,,50,20230410,20231018
송파구,학원,교연수학학원,서울특별시 송파구 마천로5길 16,입시.검정 및 보습,보통교과,보습,50,20230410,20250330
중구,학원,약수위드피아노학원,서울특별시 중구 동호로11길 39,기예(대),기예(중),실용음악(성악),133,20230411,20250209
양천구,교습소,제임스영어교습소,서울특별시 양천구 남부순환로79길 7,입시.검정 및 보습,보통교과,,12,20230410,20231018
마포구,학원,액츠29커피바리스타원격학원,서울특별시 마포구 백범로1길 10,직업기술,산업응용기술,"식음료품(바리스타,소믈리에),",1998,20230410,20241215
중랑구,학원,탑에듀학원,서울특별시 중랑구 숙선옹주로 20,입시.검정 및 보습,보통교과,,0,20230407,20231018
성동구,학원,The학우학원,서울특별시 성동구 용답중앙길 84,입시.검정 및 보습,보통교과,보습,158,20230412,20250112
동작구,교습소,더쌤수학교습소,서울특별시 동작구 서달로 151,입시.검정 및 보습,보통교과,초등수학,45,20230412,20250112
강서구,학원,알바트로스강서관학원,서울특별시 강서구 까치산로 127,입시.검정 및 보습,보통교과,,45,20230411,20231018
송파구,교습소,뮤엠영어위례솔초영어교습소,서울특별시 송파구 위례송파로 123,입시.검정 및 보습,보통교과,"중등영어A(주3회,회당110분)",60,20230410,20250727
송파구,교습소,더퍼스트뮤직음악교습소,서울특별시 송파구 동남로30길 8,예능(대),예능(중),"피아노초급(바이엘)(4.2주)(주4회,회60분)",81,20230410,20231018
서초구,학원,하우솔교육센터원격학원,서울특별시 서초구 남부순환로350길 8,종합(대),,,10000,20230411,20231018
노원구,교습소,정상국어교습소,서울특별시 노원구 한글비석로 460,입시.검정 및 보습,보통교과,국어(초),20,20230412,20241215
금천구,학원,별을심는바둑학원,서울특별시 금천구 금하로 773,기타(대),기타(중),바둑,0,20230412,20240317
서초구,교습소,니즈수학교습소,서울특별시 서초구 서초중앙로24길 55,입시.검정 및 보습,보통교과,,6,20230411,20231018
구로구,교습소,하이매쓰수학교습소,서울특별시 구로구 천왕로 32,입시.검정 및 보습,보통교과,사고력수학1(일130분*주1회*4.2주),108,20230412,20250907
마포구,학원,카타르시스연기학원홍대점학원,서울특별시 마포구 양화로 78-9,기타(대),기타(중),,832,20230413,20250406
강남구,학원,언제나음악학원,서울특별시 강남구 남부순환로 2909,예능(대),예능(중),음악,30,20230413,20250831
양천구,학원,헤이아트미술학원,서울특별시 양천구 목동서로 63,예능(대),예능(중),미술,20,20230413,20260405
강서구,학원,사과나무목동학원,서울특별시 강서구 강서로 308,입시.검정 및 보습,보통교과,보습?논술,520,20230414,20241215
송파구,학원,재희스쿨(Jaehee School)방송연기학원,서울특별시 송파구 가락로 155,기예(대),기예(중),,12,20230414,20250126
송파구,교습소,한우리송파신가국어교습소,서울특별시 송파구 오금로36길 70,입시.검정 및 보습,보통교과,"초등국어(주1회,회145분)",16,20230413,20241215
송파구,교습소,시스케이(SYS K)수학교습소,서울특별시 송파구 올림픽로 145,입시.검정 및 보습,보통교과,"초등수학(4.2주)(주3회,회180분)",18,20230413,20250727
동작구,교습소,그림공방앤드미술교습소,서울특별시 동작구 사당로23길 112,예능(대),예능(중),,40,20230417,20231018
서초구,교습소,꽃필무렵국어교습소,서울특별시 서초구 방배천로 68,입시.검정 및 보습,보통교과,수능기초,117,20230417,20250907
노원구,학원,투비뉴컴퍼니원격학원,서울특별시 노원구 동일로207길 186,입시.검정 및 보습,보통교과,,999,20230417,20240128
강남구,학원,관우쌤과세상을품은교육(세품교)입시컨설팅원격학원,서울특별시 강남구 영동대로85길 20-7,입시.검정 및 보습,,,2800,20230417,20241215
강동구,교습소,육쌤영어교습소,서울특별시 강동구 양재대로 1666,입시.검정 및 보습,보통교과,,8,20230418,20240428
강남구,학원,따뜻한수학학원,서울특별시 강남구 개포로 512,입시.검정 및 보습,보통교과,"보습?논술,",276,20230418,20260208
강동구,학원,소리샘음악학원,서울특별시 강동구 구천면로 258,예능(대),예능(중),,470,20230418,20231018
강서구,교습소,성균관한자교습소,서울특별시 강서구 화곡로13길 104,입시.검정 및 보습,보통교과,,35,20230418,20231018
