행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
중랑구,교습소,그레이스M영어교습소,서울특별시 중랑구 용마산로125길 2,입시.검정 및 보습,보통교과,초등A,42,20040809,20231231
마포구,학원,베리타스학원,서울특별시 마포구 포은로 14,입시.검정 및 보습,보통교과,보습,144,20040830,20240428
양천구,학원,미래영재학원,서울특별시 양천구 목동서로 67,입시.검정 및 보습,보통교과,보습,290,20040830,20251214
성북구,학원,김인규보습학원,서울특별시 성북구 오패산로4길 32,입시.검정 및 보습,보통교과,"보습,",120,20040818,20231018
강서구,학원,에벤에셀보습학원,서울특별시 강서구 화곡로 13길 111,입시.검정 및 보습,보통교과,,108,20021216,20231018
강동구,교습소,피아노과외교습소(강병원),서울특별시 강동구 구천면로 167-11,예능(대),예능(중),피아노,9,19840702,20231018
강서구,학원,와이엘에듀학원,서울특별시 강서구 강서로45길 39,입시.검정 및 보습,보통교과,보습,210,20021214,20250914
서대문구,교습소,소당서예교습소,서울특별시 서대문구 독립문로 34,기타(대),기타(중),초급,18,20040831,20231018
송파구,교습소,피아노과외교습소(고순례),서울특별시 송파구 오금로64라길 12,예능(대),예능(중),피아노,9,19840302,20231018
송파구,교습소,한국무용,서울특별시 송파구 올림픽로32길,예능(대),예능(중),무용,9,19861126,20231018
송파구,교습소,피아노교습소(권춘자),서울특별시 송파구 한가람로,예능(대),예능(중),음악,9,19820220,20231018
송파구,교습소,피아노교습소(권현숙),서울특별시 송파구 한가람로,예능(대),예능(중),음악,9,19820624,20231018
광진구,교습소,GT수학교습소,서울특별시 광진구 광나루로36길 42,입시.검정 및 보습,보통교과,초등수학1,52,20040903,20231029
송파구,교습소,피아노교습소(김귀자),서울특별시 송파구 한가람로,예능(대),예능(중),피아노,9,19850123,20231018
송파구,교습소,미술교습소(김명예),서울특별시 송파구 문정로,예능(대),예능(중),미술,9,19820504,20231018
강동구,교습소,피아노교습소(김소옥),서울특별시 강동구 양재대로 1340,예능(대),예능(중),음악,9,19820209,20231018
송파구,교습소,속독교습소,서울특별시 송파구 한가람로,기타(대),기타(중),속독,9,19820526,20231018
강동구,교습소,심포니음악교습소,서울특별시 강동구 상일로 74,예능(대),예능(중),"음악(4.2주)(주3회, 회당75분)",15,19841201,20260426
성동구,학원,우리학원,서울특별시 성동구 독서당로62길 20,입시.검정 및 보습,보통교과,보습,280,20040903,20241215
