행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
서초구,학원,리드101서이영어학원,서울특별시 서초구 사임당로 158,입시.검정 및 보습,보통교과,보습,1000,20210422,20250330
서초구,교습소,비콘영어교습소,서울특별시 서초구 동광로12가길 25,입시.검정 및 보습,보통교과,초등영어(리딩)1,76,20210421,20250309
양천구,교습소,서진영어교습소,서울특별시 양천구 중앙로 237,입시.검정 및 보습,보통교과,초등영어1,114,20210422,20250330
성북구,학원,복스뮤직아카데미학원,서울특별시 성북구 동소문로15길 1,예능(대),예능(중),,500,20210420,20231018
강동구,교습소,스토리M수학교습소,서울특별시 강동구 고덕로62길 66,입시.검정 및 보습,보통교과,"초등수학A(주3회,회90분)",35,20210423,20260621
동대문구,학원,오름학원,서울특별시 동대문구 경희대로 15,입시.검정 및 보습,보통교과,"보습,",72,20210422,20231018
서초구,교습소,레브빈바이올린스튜디오음악교습소,서울특별시 서초구 서운로 207,예능(대),예능(중),,1,20210422,20260705
은평구,교습소,MPM영어교습소,서울특별시 은평구 통일로 1010,입시.검정 및 보습,,중등영어1,45,20210423,20231018
금천구,학원,네임드에듀학원,서울특별시 금천구 독산로 286,입시.검정 및 보습,보통교과,보습,325,20210420,20260315
송파구,학원,고대수학원,서울특별시 송파구 가락로28길 15,입시.검정 및 보습,보통교과,보습,45,20210426,20250629
서초구,학원,티엘영어학원,서울특별시 서초구 사임당로 143,입시.검정 및 보습,보통교과,보습,30,20210426,20250112
양천구,교습소,제이수학교습소,서울특별시 양천구 목동서로 77,입시.검정 및 보습,보통교과,수학초등A,12,20210426,20250803
구로구,학원,램프댄스학원,서울특별시 구로구 디지털로35길 17,기타(대),기타(중),기타(소),160,20210426,20240602
영등포구,학원,타니폴댄스아카데미학원,서울특별시 영등포구 국제금융로6길 33,기예(대),기예(중),,182,20210426,20241215
강서구,교습소,리틀필즈창의수학교습소,서울특별시 강서구 공항대로38길 73,입시.검정 및 보습,보통교과,초등수학D,12,20210426,20241006
강남구,학원,메이큐마인웍스학원,서울특별시 강남구 논현로134길 5,기예(대),기예(중),실용음악(성악),18,20210420,20250706
강남구,학원,프렘어학원,서울특별시 강남구 언주로168길 15,국제화,외국어,"실용외국어(유아/초?중?고),",851,20210420,20231018
강남구,학원,마루원격학원,서울특별시 강남구 도곡로83길 8,기타(대),기타(중),기타(소),180,20210419,20231029
송파구,교습소,하연잠동실험과학교습소,서울특별시 송파구 올림픽로35길 124,입시.검정 및 보습,보통교과,"초등과학A(4.2주)(주1회,회60분)",6,20210428,20260329
서초구,학원,서초크라센방배고등관영어학원,서울특별시 서초구 효령로 181,입시.검정 및 보습,보통교과,"보습?논술,실용외국어(유아/초?중?고)",1260,20210428,20250824
성북구,교습소,래미안샵음악교습소,서울특별시 성북구 오패산로 84,예능(대),예능(중),피아노 초급,20,20210428,20250209
성북구,교습소,똑똑수학교습소,서울특별시 성북구 성북로4길 52,입시.검정 및 보습,보통교과,,12,20210428,20231018
성북구,교습소,탑수학교습소,서울특별시 성북구 종암로5길 9-3,입시.검정 및 보습,보통교과,,30,20210429,20231018
은평구,교습소,닥공영어교습소,서울특별시 은평구 진관3로 67,입시.검정 및 보습,보통교과,,8,20210429,20231018
성북구,교습소,윤선생우리집앞영어교실동소문영어교습소,서울특별시 성북구 동소문로13길 39-2,입시.검정 및 보습,보통교과,초등영어A,36,20210429,20231018
강동구,교습소,짱쌤창의수학교습소,서울특별시 강동구 아리수로50길 50,입시.검정 및 보습,보통교과,,6,20210429,20250727
송파구,교습소,책읽는루브르아뜰리에미술교습소,서울특별시 송파구 오금로 551,예능(대),예능(중),"미술(4주)(주3회, 회110분)",7,20210430,20241215
영등포구,학원,신동수수학학원,서울특별시 영등포구 여의대방로65길 12,입시.검정 및 보습,보통교과,보습,150,20210430,20250330
