행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
은평구,교습소,세종피아노교습소,서울특별시 은평구 연서로3가길 4,예능(대),,,0,20241226,20250112
금천구,교습소,파라곤수학교습소,서울특별시 금천구 벚꽃로 30,입시.검정 및 보습,,,0,20241220,20250112
노원구,교습소,링키영어공릉태강점영어교습소,서울특별시 노원구 공릉로34길 62,국제화,외국어,영어 기초 1,0,20241226,20260816
영등포구,학원,씨드수학학원,서울특별시 영등포구 당산로44길 3,입시.검정 및 보습,보통교과,보습,0,20241226,20260201
구로구,학원,미래써밋영어국어학원,서울특별시 구로구 개봉로20길 14,입시.검정 및 보습,보통교과,보습,0,20241224,20260607
강남구,교습소,해야수학교습소,서울특별시 강남구 도곡로78길 22,입시.검정 및 보습,,,0,20241226,20250112
구로구,학원,와이비엠(YBM)잉글루앤(&)퍼스트클래스학원,서울특별시 구로구 개봉로18길 10,입시.검정 및 보습,,,0,20241224,20250112
동대문구,교습소,대치MS수학교습소,서울특별시 동대문구 답십리로41길 33,입시.검정 및 보습,,,0,20241226,20250112
종로구,학원,소리플루트학원,서울특별시 종로구 새문안로5가길 3-10,기예(대),기예(중),,200,20241226,20251214
마포구,교습소,브레인플레이팩토수학교습소,서울특별시 마포구 도화길 32,입시.검정 및 보습,보통교과,초등수학1,0,20241226,20250112
마포구,학원,꾼홍대실용음악학원,서울특별시 마포구 어울마당로 26,예능(대),예능(중),음악,261,20241226,20260301
양천구,학원,생크림토론수학학원,서울특별시 양천구 목동중앙로 81,입시.검정 및 보습,,,0,20241227,20250112
강서구,교습소,한우리독서토론논술강서발산명덕논술교습소,서울특별시 강서구 강서로47길 26,입시.검정 및 보습,,,0,20241227,20250112
서초구,학원,기파랑국풀반포학원,서울특별시 서초구 반포대로 300,입시.검정 및 보습,,,0,20241227,20250112
강동구,학원,HY댄스학원,서울특별시 강동구 아리수로 427,기예(대),기예(중),댄스,235,20241227,20250525
동작구,학원,아이미소교원임용고시학원,서울특별시 동작구 노량진로 161,인문사회(대),,,170,20241229,20251005
서초구,학원,파인만영재고센터5관학원,서울특별시 서초구 반포대로 304,입시.검정 및 보습,보통교과,보습?논술,492,20241219,20260201
