행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
강서구,교습소,류클라리넷플룻음악교습소,서울특별시 강서구 공항대로41길 51,예능(대),예능(중),클라리넷(일반),12,20160517,20231018
강북구,학원,눈높이러닝센터수유학원,서울특별시 강북구 삼양로 416,입시.검정 및 보습,보통교과,보습?논술,300,20160524,20260308
성동구,학원,한종진바둑학원,서울특별시 성동구 왕십리로26길 16,기타(대),기타(중),바둑,255,20160519,20250928
노원구,학원,스타일이용미용학원,서울특별시 노원구 상계로 55,직업기술,산업응용기술,이?미용,0,20160525,20260301
성동구,학원,아e들의작업실왕십리미술학원,서울특별시 성동구 마장로 137,예능(대),예능(중),"미술,",20,20160524,20241215
송파구,교습소,잠실해법수학교습소,서울특별시 송파구 올림픽로 145,입시.검정 및 보습,보통교과,초등수학(주3회 150분),24,20160524,20231018
관악구,학원,아르떼뮤직음악학원,서울특별시 관악구 남부순환로233길 13,예능(대),예능(중),"음악,",12,20160527,20231018
송파구,교습소,봄수학교습소,서울특별시 송파구 성내천로34길 18,입시.검정 및 보습,보통교과,"초등수학(4.2주)(주5회,회60분)",21,20160517,20250727
송파구,학원,리틀바하음악학원,서울특별시 송파구 올림픽로12길 48,예능(대),예능(중),음악,240,20160524,20260802
양천구,학원,러셀목동학원,서울특별시 양천구 신월로 358,입시.검정 및 보습,진학지도,진학상담지도,4391,20160527,20260802
양천구,학원,러셀바른공부자습전용관독서실,서울특별시 양천구 신월로 358,독서실,독서,,150,20160527,20231018
서초구,교습소,에꼴드아미(ecole de ami)미술교습소,서울특별시 서초구 서초대로4길 23,예능(대),예능(중),미술A,10,20160527,20250309
성동구,학원,JEM수학왕십리캠퍼스학원,서울특별시 성동구 왕십리로 385,입시.검정 및 보습,보통교과,보습,180,20160530,20260802
양천구,교습소,뮤엠영어브리즈번영어교습소,서울특별시 양천구 목동중앙남로 100,입시.검정 및 보습,보통교과,영어W(초등),69,20160530,20260329
관악구,교습소,올리비아영어교습소,서울특별시 관악구 호암로 417,입시.검정 및 보습,보통교과,,30,20160524,20231018
강서구,학원,강남현에듀수학학원,서울특별시 강서구 공항대로36길 81,입시.검정 및 보습,보통교과,"보습?논술,",300,20160531,20231018
구로구,교습소,나의피아노음악교습소,서울특별시 구로구 신도림로19길 7,예능(대),예능(중),피아노1(일60분*주5회*4.2주),25,20160603,20231018
서초구,학원,조건반사영어원격학원,서울특별시 서초구 서초중앙로 110,입시.검정 및 보습,보통교과,,222,20160603,20231018
서초구,교습소,뮤직슐레음악교습소,서울특별시 서초구 청계산로7길 43,예능(대),예능(중),바이엘,33,20160526,20240623
서초구,학원,과학의진수학원,서울특별시 서초구 신반포로 177,입시.검정 및 보습,보통교과,"보습?논술,",130,20160428,20231018
서초구,학원,생각하는두꺼비수학7관학원,서울특별시 서초구 신반포로 177,입시.검정 및 보습,보통교과,"보습?논술,",210,20160509,20240225
강남구,학원,차홍아카데미학원,서울특별시 강남구 학동로33길 42,직업기술,산업응용기술,"이?미용,",75,20160523,20231018
강남구,학원,퓨쳐플랜학원,서울특별시 강남구 역삼로64길 22,입시.검정 및 보습,진학지도,"진학상담지도,",4,20160526,20231018
강남구,학원,생각의숲국어논술전문학원,서울특별시 강남구 선릉로 30,입시.검정 및 보습,보통교과,보습?논술,60,20160511,20240317
양천구,학원,백인대장중등관학원,서울특별시 양천구 목동동로 401,입시.검정 및 보습,보통교과,보습?논술,1176,20160603,20260628
송파구,학원,국어울림학원,서울특별시 송파구 마천로 31,입시.검정 및 보습,보통교과,"보습,",50,20160603,20231018
영등포구,학원,미술로생각하기여의도센타학원,서울특별시 영등포구 국제금융로 78,기타(대),기타(중),"기타(소),",10,20160429,20231018
금천구,학원,별하학원,서울특별시 금천구 시흥대로39길 48,입시.검정 및 보습,보통교과,,34,20160512,20231018
강서구,학원,그린음악학원,서울특별시 강서구 방화대로 294,예능(대),예능(중),음악,40,20160607,20260201
