행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
은평구,교습소,진음악교습소,서울특별시 은평구 서오릉로15길 6,예능(대),예능(중),피아노 초급5회반,40,19950906,20231018
은평구,교습소,그림나라미술교습소,서울특별시 은평구 녹번로 7,예능(대),예능(중),초급미술,11,19951115,20250928
은평구,교습소,맑은샘피아노교습소,서울특별시 은평구 서오릉로10길 22,예능(대),예능(중),초급(바이엘),15,19831107,20250928
은평구,교습소,뮤직트리바하음악교습소,서울특별시 은평구 통일로69길 16,예능(대),예능(중),피아노1(고급),117,19850214,20250928
은평구,교습소,부조니피아노교습소,서울특별시 은평구 불광로 197,예능(대),예능(중),피아노 초급,15,19850701,20231018
은평구,교습소,뉴헨델음악교습소,서울특별시 은평구 갈현로29길 8-3,예능(대),예능(중),피아노초급,60,19960409,20240714
은평구,교습소,클라라피아노교습소,서울특별시 은평구 갈현로1길 24-1,예능(대),예능(중),파아노초급,30,20020330,20250907
은평구,교습소,화우미술교습소,서울특별시 은평구 갈현로3길 47,예능(대),예능(중),초등부미술,12,20010526,20250928
은평구,교습소,소나레음악교습소,서울특별시 은평구 은평터널로13길 4,예능(대),예능(중),초급,15,19840303,20250928
은평구,교습소,제이피아노스튜디오음악교습소,서울특별시 은평구 서오릉로10길 3,예능(대),예능(중),피아노 초급,15,19820123,20260308
은평구,교습소,예밀피아노교습소,서울특별시 은평구 갈현로1길 20-1,예능(대),예능(중),피아노초급,10,19890613,20231018
은평구,교습소,예쁜소리피아노교습소,서울특별시 은평구 진흥로1길 18-1,예능(대),예능(중),초급피아노1,24,20000103,20250907
은평구,교습소,리틀컴퓨터교습소,서울특별시 은평구 갈현로 241,기타(대),기타(중),컴퓨터,7,19990512,20231018
서대문구,교습소,헨델음악교습소,서울특별시 서대문구 모래내로 434,예능(대),예능(중),피아노초급,12,19970325,20231018
은평구,교습소,아를미술교습소,서울특별시 은평구 응암로21가길 24,예능(대),예능(중),중급(고학년),18,19991102,20231018
은평구,교습소,클랑피아노음악교습소,서울특별시 은평구 가좌로6길 19,예능(대),예능(중),피아노초급,30,19940915,20250907
서대문구,교습소,재열교습소,서울특별시 서대문구 북가좌동,예능(대),예능(중),피아노,4,19820302,20231018
서대문구,교습소,한소리음악교습소,서울특별시 서대문구 통일로37길 50,예능(대),예능(중),피아노 초급,20,19900227,20240324
광진구,교습소,삼성음악교습소,서울특별시 광진구 아차산로70길 17-17,예능(대),예능(중),기초피아노,25,19960126,20231018
광진구,교습소,경희제일피아노음악교습소,서울특별시 광진구 광나루로30길 35,예능(대),예능(중),바이엘1,55,20011020,20260301
광진구,교습소,뉴프라임피아노교습소,서울특별시 광진구 광나루로56길 29,예능(대),예능(중),입시집중반1,4,20010730,20231029
광진구,교습소,구의이화음악교습소,서울특별시 광진구 아차산로59길 42,예능(대),예능(중),피아노 초급,50,20010110,20231018
광진구,교습소,유토피아수학교습소,서울특별시 광진구 군자로12길 16,입시.검정 및 보습,보통교과,초등수학1,35,19910502,20250223
광진구,교습소,한국가야금교습소,서울특별시 광진구 능동로19길 35,예능(대),예능(중),기초반,27,19871217,20231018
광진구,교습소,라라피아노교습소,서울특별시 광진구 자양번영로11길 35-10,예능(대),예능(중),"초,중,고,피아노1",18,19990304,20231018
광진구,교습소,이미선음악교습소,서울특별시 광진구 자양번영로1길 23,예능(대),예능(중),피아노/바이엘,30,19960528,20231029
광진구,교습소,디지털컴퓨터교습소,서울특별시 광진구 아차산로 530,기타(대),기타(중),OA자격증코딩,50,20020426,20240908
광진구,교습소,명성피아노교습소,서울특별시 광진구 뚝섬로32길 4,예능(대),예능(중),피아노 초급,15,19850415,20231029
광진구,교습소,린음악교습소,서울특별시 광진구 자양로13길 87-1,예능(대),예능(중),초급피아노,65,19890719,20231029
성동구,교습소,성수예지미술교습소,서울특별시 성동구 상원길 59,예능(대),예능(중),입시 서양미술(수채화 소묘외),18,20010912,20250727
성동구,교습소,화가마을미술교습소,서울특별시 성동구 마장로35길 76,예능(대),,,10,20000124,20231029
성동구,교습소,바른피아노,서울특별시 성동구 용답23길 21-1,예능(대),예능(중),피아노 바이엘,20,19970122,20231029
성동구,교습소,두산미술교습소,서울특별시 성동구 동호로 102,예능(대),예능(중),미술(초등저학년),8,19991115,20231018
광진구,교습소,예성음악교습소,서울특별시 광진구 자양로30길 14,예능(대),예능(중),피아노 기초,50,20000211,20231029
광진구,교습소,새쇼팽피아노교습소,서울특별시 광진구 뚝섬로54길 35,예능(대),예능(중),기초,55,19980413,20231029
광진구,교습소,슬기피아노교습소,서울특별시 광진구 뚝섬로37길 11,예능(대),예능(중),바이엘1,6,19941007,20250112
광진구,교습소,소해서예교습소,서울특별시 광진구 광나루로 606,기타(대),기타(중),,36,19870908,20250803
광진구,교습소,하얀별피아노음악교습소,서울특별시 광진구 천호대로119길 26,예능(대),예능(중),"바이엘, 체르니100(주4회)",70,19820209,20250713
성동구,교습소,글로리아피아노교습소,서울특별시 성동구 성수이로 32-16,예능(대),예능(중),체르니100,3,20000407,20251116
광진구,교습소,라음피아노음악교습소,서울특별시 광진구 아차산로 549,예능(대),예능(중),피아노초급3,36,19940701,20260201
광진구,교습소,양혜원피아노교습소,서울특별시 광진구 자양로32길 72,예능(대),예능(중),,15,19920415,20231029
광진구,교습소,송현서당교습소,서울특별시 광진구 영화사로9길 63,기타(대),기타(중),서예/초급,5,19940225,20231029
광진구,교습소,베르디음악교습소,서울특별시 광진구 능동로4길 65,예능(대),예능(중),피아노(초),40,19880219,20250727
성동구,교습소,이민정음악교습소,서울특별시 성동구 금호산길 28,예능(대),예능(중),입시b,40,19840421,20250126
광진구,교습소,이성희피아노교습소,서울특별시 광진구 아차산로 552,예능(대),예능(중),피아노 초급1 초중등,25,19991217,20231029
광진구,교습소,제이피아노교습소,서울특별시 광진구 광나루로30나길 28,예능(대),예능(중),피아노,35,19931101,20250518
성동구,교습소,더뮤즈음악교습소,서울특별시 성동구 독서당로59길 84,예능(대),예능(중),바이엘(기초),25,20100808,20250112
광진구,교습소,다빈치미술교습소,서울특별시 광진구 아차산로44길 35,예능(대),예능(중),초등미술1,8,20010924,20250330
성북구,교습소,예원음악교습소,서울특별시 성북구 북악산로 828,예능(대),예능(중),피아노 초급,24,19850513,20231018
성북구,교습소,정통영어회화교습소,서울특별시 성북구 종암로27길 13,입시.검정 및 보습,보통교과,영어회화,9,19850520,20231018
성북구,교습소,뉴소나타피아노교습소,서울특별시 성북구 보국문로2길 24,예능(대),예능(중),초급피아노1,12,19861205,20231018
강북구,교습소,그린나무미술교습소,서울특별시 강북구 오현로32길 30,예능(대),예능(중),초급미술,18,19940311,20260607
성북구,교습소,아이원피아노교습소,서울특별시 성북구 솔샘로25길 20,예능(대),예능(중),피아노(초급),16,19950318,20260712
성북구,교습소,이앤아이피아노교습소,서울특별시 성북구 고려대로 24,예능(대),예능(중),초급피아노A,12,19950516,20260712
강북구,교습소,뮤직하우스피아노교습소,서울특별시 강북구 도봉로18길 148,예능(대),예능(중),피아노초급,9,19950916,20231018
성북구,교습소,새이화피아노교습소,서울특별시 성북구 보국문로 160,예능(대),예능(중),초급,12,19951204,20260712
강북구,교습소,조피아노교습소,서울특별시 강북구 인수봉로55길 16,예능(대),예능(중),초급피아노,12,19951219,20231023
성북구,교습소,성균관.추계미술교습소,서울특별시 성북구 삼선교로14길 68-1,예능(대),예능(중),미술(입시),21,19960325,20231018
성북구,교습소,장위예은피아노교습소,서울특별시 성북구 돌곶이로37길 24,예능(대),예능(중),초급,25,19961203,20250928
강북구,교습소,양성은미술교습소,서울특별시 강북구 한천로132길 84,예능(대),예능(중),미술(초급A),36,19971119,20231018
강북구,교습소,이삭음악교습소,서울특별시 강북구 솔매로 26,예능(대),예능(중),초급A,18,19980302,20250420
성북구,교습소,예원,서울특별시 성북구 월곡로5길 44,예능(대),예능(중),,8,19850716,20260712
성북구,교습소,하얀미술교습소,서울특별시 성북구 삼선교로16길 40,예능(대),예능(중),초급1-1,198,19990316,20231018
성북구,교습소,다솔피아노교습소,서울특별시 성북구 정릉로31나길 18,예능(대),예능(중),초급,10,19990524,20260712
강북구,교습소,원음음악교습소,서울특별시 강북구 도봉로67길 81,예능(대),예능(중),피아노(초급),15,19990722,20231018
성북구,교습소,행복한음악교습소,서울특별시 성북구 종암로 182,예능(대),예능(중),체르니100번,56,19990811,20250112
성북구,교습소,박실미술교습소,서울특별시 성북구 고려대로 37,예능(대),예능(중),미술초급,4,20000814,20260712
성북구,교습소,아트숲미술교습소,서울특별시 성북구 돌곶이로22길 20,예능(대),예능(중),초급미술1,30,20011204,20260308
강북구,교습소,바스키아미술교습소,서울특별시 강북구 4.19로12길 14,예능(대),예능(중),미술A,36,20011211,20241215
성북구,교습소,더프라임음악교습소,서울특별시 성북구 길음로 141,예능(대),예능(중),초급 피아노,27,20020325,20260712
성북구,교습소,리나음악교습소,서울특별시 성북구 성북로 26-1,예능(대),예능(중),초급1,32,20020508,20231018
