행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
구로구,학원,명문학원,서울특별시 구로구 오류로 62,입시.검정 및 보습,보통교과,보습?논술,290,20210528,20260301
노원구,학원,더(The)채움학원,서울특별시 노원구 수락산로 9,입시.검정 및 보습,보통교과,보습,112,20210607,20260607
양천구,교습소,드로잉글리쉬(Drawinglish)영어교습소,서울특별시 양천구 신월로20길 7,입시.검정 및 보습,보통교과,,20,20210603,20241215
서초구,교습소,이화영어교습소,서울특별시 서초구 성촌1길 20,입시.검정 및 보습,보통교과,초등영어(1),30,20210602,20240908
동작구,학원,쌤잉글리쉬학원,서울특별시 동작구 상도로 217-4,입시.검정 및 보습,보통교과,"보습,",48,20210604,20231018
양천구,학원,하임수학학원,서울특별시 양천구 목동서로 63,입시.검정 및 보습,보통교과,"보습?논술,",132,20210604,20231018
성동구,교습소,키영어교습소,서울특별시 성동구 난계로 35,입시.검정 및 보습,보통교과,초등영어B,8,20210602,20241215
성북구,교습소,둘리중고영어교습소,서울특별시 성북구 지봉로 180,입시.검정 및 보습,보통교과,,16,20210603,20250309
은평구,교습소,에즈웰잉글리쉬(As Well English)영어교습소,서울특별시 은평구 통일로 1010,입시.검정 및 보습,보통교과,초등영어A,32,20210603,20260816
은평구,교습소,이지코딩컴퓨터교습소,서울특별시 은평구 응암로22길 37,정보,정보,초등(엔트리),9,20210604,20250803
강남구,학원,브레인팩토리솔루션학원,서울특별시 강남구 역삼로63길 6,기예(대),기예(중),"미술,",205,20210601,20231018
중구,학원,오선생영어수학학원,서울특별시 중구 중림로 10,입시.검정 및 보습,보통교과,,120,20210604,20250727
노원구,교습소,하울뮤직음악교습소,서울특별시 노원구 공릉로38길 21,예능(대),예능(중),피아노1(주5회),83,20210607,20231018
강동구,학원,어썸잉글리시영어학원,서울특별시 강동구 양재대로138길 47,입시.검정 및 보습,보통교과,,155,20210607,20231018
양천구,교습소,목동플라톤논술교습소,서울특별시 양천구 목동동로 100,입시.검정 및 보습,보통교과,파워캠프(중등),195,20210607,20260712
양천구,교습소,송바이올린교습소,서울특별시 양천구 목동중앙로 131-1,예능(대),예능(중),바이올린A(초등),21,20210607,20250330
동작구,학원,웅진씽크빅학습센터사당학원,서울특별시 동작구 사당로 215,입시.검정 및 보습,보통교과,보습,90,20210607,20250713
