행정구역명,학원/교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,휴원시작일자,휴원종료일자,개설일자,적재일시
송파구,교습소,3000018254,창작별미술교습소,서울특별시 송파구 오금로32길 31,", 래미안 송파 파인탑 근린생활시설 303호 (송파동)",예능(대),예능(중),"미술9(4주)(주2회, 회당120분)",음악,54,6,"미술9(4주)(주2회, 회당120분):150000, 미술10(4주)(주3회, 회당105분):200000, 초급미술1(주3회,회70분):130000, 초급미술2(주4회,회70분):170000, 초급미술3(주4회,회90분):210000, 초등미술4(주4회,회100분):250000, 초등미술5(주3회,회90분):170000, 미술(주2회, 회당110분):140000, 미술(주3회, 회당100분):190000, 미술(주2회, 회당130분):160000, 미술(주5회, 회당90분):285000",Y,N,138776,개원,20130925,,99991231,20130925,20260201
강남구,교습소,3000018255,워너비영어교습소,서울특별시 강남구 삼성로61길 51,", 1층 (대치동)",입시.검정 및 보습,보통교과,,보습,36,4,,Y,N,135998,개원,20130930,,99991231,20130930,20231018
서초구,학원,3000018261,키즈닥터창의성영재학원,서울특별시 서초구 고무래로10길 10,", 2층 (반포동,청구빌딩)",기타(대),기타(중),"기타(소),",기타(소),23,72,,Y,N,137803,개원,20130930,,99991231,20130930,20260607
강남구,학원,3000018269,마루국어학원,서울특별시 강남구 삼성로 155,", 309,310,311,312,517,518호 (대치동, 대치퍼스트)",입시.검정 및 보습,보통교과,보습,보습,144,107,,Y,N,135836,개원,20131002,,99991231,20131002,20260201
관악구,교습소,3000018270,은천한우리독서토론논술교습소,서울특별시 관악구 은천로 95,", 벽산블루밍상가 501동 404호 (봉천동)",입시.검정 및 보습,보통교과,초등논술1,보습?논술,54,6,"초등논술1:95000, 초등논술2:100000, 초등논술3:105000, 초등논술4:110000, 초등논술5:120000, 초등논술6:130000, 중등논술1:135000, 중등논술2:140000, 중등논술3:150000",Y,N,151050,개원,20130926,,99991231,20130926,20260719
동대문구,교습소,3000018272,하이영어교습소,서울특별시 동대문구 약령시로 13-1,", 1층 (제기동)",입시.검정 및 보습,보통교과,초등영어A,보습,20,5,"초등영어A:210000, 초등영어B:230000, 중등영어:270000",Y,N,130861,개원,20130930,,99991231,20130930,20250928
강북구,학원,3000018273,강북제일학원,서울특별시 강북구 도봉로20가길 79,", 2층 전체 (미아동)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,168,42,,Y,N,1160,개원,20131002,,99991231,20131002,20250601
노원구,학원,3000018274,아라해법학원,서울특별시 노원구 동일로216길 70,", 2층일부 (상계동,상계주공아파트)",입시.검정 및 보습,보통교과,보습,보습,43,95,,Y,N,139754,개원,20131004,,99991231,20131004,20251214
강동구,교습소,3000018275,아트블라썸미술교습소,서울특별시 강동구 명일로 263,",  1층일부 (길동)",예능(대),예능(중),"미술(주1회,회135분)",미술,9,3,"미술(주1회,회135분):90000, 미술(주1회,회185분):120000, 미술(주1회, 회당150분):100000",Y,N,134808,개원,20131004,,99991231,20131004,20231018
강서구,교습소,3000018282,새열린피아노음악교습소,서울특별시 강서구 공항대로38길 73,", 2층일부 (내발산동)",예능(대),예능(중),피아노 고급,음악,10,5,"피아노 고급:150000, 피아노초급 (주2,3회):120000, 피아노중급입시 (주2,3회):130000, 피아노고급입시 (주2,3회):140000, 피아노 초급:130000, 피아노 중급:140000",Y,N,157280,개원,20131007,,99991231,20131007,20251109
송파구,교습소,3000018284,미술이야기미술교습소,서울특별시 송파구 송이로36길 54,", 2층 (문정동)",예능(대),예능(중),"미술(주1회,110분)",미술,27,9,"미술(주1회,110분):70000, 미술(주3회,회80분):130000, 미술(주4회,회80분):160000",N,N,138200,개원,20131004,,99991231,20131004,20231018
송파구,학원,3000018289,주영보습학원,서울특별시 송파구 마천로 33,", 4층 (방이동, 동성빌딩)",입시.검정 및 보습,보통교과,"보습,",보습,80,60,,Y,N,5639,개원,20131008,,99991231,20131008,20250126
강남구,학원,3000018290,아토즈아카데미학원,서울특별시 강남구 도곡로 460,", 5층 (대치동,동선빌딩)",입시.검정 및 보습,진학지도,"보습?논술,진학상담지도",진학상담지도,597,199,,Y,N,135500,개원,20131004,,99991231,20131004,20260607
은평구,학원,3000018291,엠스커피아카데미학원,서울특별시 은평구 연서로27길 15,", 2층 일부 (갈현동,닉스)",직업기술,산업응용기술,"식음료품(바리스타,소믈리에),","식음료품(바리스타,소믈리에)",245,50,,N,N,122959,개원,20131007,,99991231,20131007,20231018
성북구,학원,3000018293,돈암마르지않는샘보습학원,서울특별시 성북구 북악산로 852,",  3층전체 (정릉동)",입시.검정 및 보습,보통교과,보습,보습,114,38,,Y,N,136841,개원,20131008,,99991231,20131008,20251116
마포구,학원,3000018294,하얀돌미술학원,서울특별시 마포구 와우산로 110,", 7층,8층(창전동)",예능(대),예능(중),미술,미술,303,101,,Y,N,4059,개원,20131007,,99991231,20131007,20260607
영등포구,학원,3000018295,파워학원,서울특별시 영등포구 도림로 263,", 3층 (신길동, 현대빌딩)",입시.검정 및 보습,보통교과,"보습,",보습,500,92,,Y,N,7406,개원,20131008,,99991231,20131008,20231029
서대문구,학원,3000018296,나우쿠킹학원,서울특별시 서대문구 이화여대길 59,", 메르체쇼핑몰 6층 일부 (대현동)",직업기술,산업응용기술,"식음료품(바리스타,소믈리에)","식음료품(바리스타,소믈리에)",700,50,,Y,N,120808,개원,20131008,,99991231,20131008,20240519
서초구,학원,3000018297,두뇌가뛰어노는논술브레이닝반포점학원,서울특별시 서초구 고무래로8길 9,", 2층 (반포동)",입시.검정 및 보습,보통교과,보습?논술,보습?논술,228,76,,Y,N,137803,개원,20131007,,99991231,20131007,20251214
도봉구,교습소,3000018304,탑클래스영어교습소,서울특별시 도봉구 해등로26길 7,", 2층216호 (쌍문동)",입시.검정 및 보습,보통교과,초등영어,보습,9,3,"초등영어:180000, 중등영어:250000, 고등영어:300000",Y,N,1387,개원,20131010,,99991231,20131010,20250608
강동구,교습소,3000018314,뿌리샘국어교습소,서울특별시 강동구 동남로71길 32,", 901호 (명일동,환타지아)",입시.검정 및 보습,보통교과,"국어고1,2(4주)(주4회, 회420분)",보습,12,4,"국어고1,2(4주)(주4회, 회420분):380000, 국어고3(4주)(주4회, 회450분):400000, 국어중1,2,3(4주)(주4회, 회390분):350000",Y,N,134825,개원,20131014,,99991231,20131014,20260201
강서구,학원,3000018317,파라곤영어학원,서울특별시 강서구 양천로69길 18,", 극동아파트 상가동 201호 (염창동,극동아파트)",입시.검정 및 보습,보통교과,보습,보습,36,50,,Y,N,157861,개원,20131014,,99991231,20131014,20260621
관악구,학원,3000018319,원리수학영어학원,서울특별시 관악구 신림로 135,", 육일빌딩 302호 (신림동,육일빌딩)",입시.검정 및 보습,보통교과,보습,보습,146,73,,Y,N,151895,개원,20131002,,99991231,20131002,20260329
광진구,교습소,3000018322,미래엔수학자양수학교습소,서울특별시 광진구 뚝섬로36길 14,", 2층 (자양동)",입시.검정 및 보습,보통교과,초등수학,보습,36,9,"초등수학:150000, 초등수학:180000, 중등수학:250000, 초등수학:200000",Y,N,143862,개원,20131007,,99991231,20131007,20250525
송파구,학원,3000018325,송파뷰티미용학원,서울특별시 송파구 백제고분로 169,", 3층 (잠실동, 은혜빌딩)",직업기술,산업응용기술,"이?미용,",이?미용,20,20,,Y,N,5568,개원,20131014,,99991231,20131014,20231018
동작구,학원,3000018330,금호발레학원,서울특별시 동작구 상도로 265-40,"(상도1동,영은빌딩)",예능(대),예능(중),무용,무용,95,56,,Y,N,156830,개원,20131018,,99991231,20131018,20250420
동작구,교습소,3000018338,와이제이영어교습소,서울특별시 동작구 상도로 56,(대방동),입시.검정 및 보습,보통교과,,보습,10,5,,Y,N,156811,개원,20131014,,99991231,20131014,20260719
영등포구,학원,3000018340,미술로생각하기학원,서울특별시 영등포구 당산로44길 3,", 607호 (당산동5가, 삼성타운)",기타(대),기타(중),기타(소),기타(소),10,73,,Y,N,7214,개원,20131017,,99991231,20131017,20260315
종로구,학원,3000018347,씨앗패션패턴학원,서울특별시 종로구 돈화문로5길 24,", 하늘빌딩 3-5층 (돈의동)",직업기술,산업응용기술,디자인,디자인,206,127,,Y,N,3139,개원,20131014,,99991231,20131018,20250727
강서구,교습소,3000018355,킹제임스잉글리쉬(KingJamesEnglish)영어교습소,서울특별시 강서구 금낭화로23길 25,", 상가동 205호 (방화동,방화6단지도시개발아파트)",입시.검정 및 보습,보통교과,영어,보습,14,7,,Y,N,157786,개원,20131018,,99991231,20131018,20231018
용산구,학원,3000018359,아이엠폴영어학원,서울특별시 용산구 효창원로70길 11,", 3층 (효창동)",입시.검정 및 보습,보통교과,보습,보습,90,76,,Y,N,140896,개원,20131017,,99991231,20131021,20260201
강서구,학원,3000018360,강서라이즈어학원,서울특별시 강서구 공항대로45길 15,", 가양역두산위브 근생동 HKC타워 3~6층 (등촌동, 가양역 두산위브)",국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),219,167,,Y,N,7572,개원,20131021,,99991231,20131021,20260614
은평구,교습소,3000018362,하하공간미술교습소,서울특별시 은평구 은평로3길 24,2층(역촌동),예능(대),예능(중),초급미술,미술,42,9,"초급미술:200000, 중급미술:170000, 고급미술1:120000, 고급미술2:70000, 고급미술3:130000, 입시미술:65000",Y,N,3421,개원,20131021,,99991231,20131021,20260426
