연번,시설명,중분류,소분류,지역구,위치,주요시설, 부지면적(제곱미터) ,준공연도(년),주요이용연령층,이용인원(명)_연간,이용인원(명)_월간,이용인원(명)_1일평균,
55,광암마을게이트볼장,체육시설,게이트볼장,마산합포구,경상남도 창원시 마산합포구 진동면 요장리 267-24,게이트볼,370 ,2012,70대 이상,1800 ,150 ,5 ,
56,진전게이트볼장,체육시설,게이트볼장,마산합포구,경상남도 창원시 마산합포구 진전면 금암리 686-1,게이트볼,380 ,2012,70대 이상,3650 ,300 ,10 ,
57,마산게이트볼연합회서원구장,체육시설,게이트볼장,마산합포구,경상남도 창원시 마산합포구 교방동 산40-4,게이트볼,400 ,1982,70대 이상,3650 ,300 ,10 ,
58,서성게이트볼장,체육시설,게이트볼장,마산합포구,경상남도 창원시 마산합포구 서성동 84-339,게이트볼,359 ,2000,70대 이상,7300 ,600 ,20 ,
59,신포게이트볼장,체육시설,게이트볼장,마산합포구,경상남도 창원시 마산합포구 신포동1가 65-1,게이트볼,340 ,1998,70대 이상,7300 ,600 ,20 ,
60,예곡게이트볼장,체육시설,게이트볼장,마산합포구,경상남도 창원시 마산합포구 예곡동 934-1 일원,게이트볼,374 ,2014,70대 이상,3650 ,300 ,10 ,
61,추산공원 배드민턴장,체육시설,배드민턴,마산합포구,경상남도 창원시 마산합포구 자산동 100-1,배드민턴,1387 ,1997,50대 이상,11000 ,900 ,30 ,
62,추산정구장,체육시설,정구장,마산합포구,경상남도 창원시 마산합포구 추산동 산16-15,정구장,1472 ,1980,전연령층,11000 ,900 ,30 ,
63,내서문화체육센터,체육시설,체육관,마산합포구,경상남도 창원시 마산회원구 내서읍 상곡로 16,"체육관, 탁구장",3329 ,2003,전연령,54000 ,4500 ,150 ,
64,내서운동장,체육시설,운동장,마산회원구,경상남도 창원시 마산회원구 내서읍 광려로 8,"축구, 어린이축구, 농구, 족구, 다목적구장, 조깅+인라인트랙, X-게임장",53166 ,2009,전연령,252000 ,21000 ,700 ,
65,호계주민운동장,체육시설,운동장,마산회원구,경상남도 창원시 마산회원구 내서읍 호계리 198-1번지 일원,"축구, 족구, 야외공연장, 어린이놀이터",17357 ,2018,전연령,54000 ,4500 ,150 ,
66,중리초복합시설체육관,체육시설,체육관,마산회원구,경상남도 창원시 마산회원구 내서읍 호계안길 22,"체육관, 다목적실, 에어로빅실, 탁구장",11946 ,2009,전연령,54000 ,4500 ,150 ,
67,합성1동 주민운동장,체육시설,운동장,마산회원구,경상남도 창원시 마산회원구 합성동 551-1,"축구, 농구, 족구, 어린이놀이시설",11850 ,2021,전연령층,36000 ,3000 ,100 ,
68,석전동 주민운동장,체육시설,운동장,마산회원구,경상남도 창원시 마산회원구 합성동 783,"축구, 족구, 풋살, 야외운동기구",19593 ,2022,30~40대,8815 ,734 ,24 ,
69,회원2동 그라운드골프장,체육시설,그라운드골프장,마산회원구,경상남도 창원시 마산회원구 회원동 1173-1외 1,그라운드골프장,1033 ,2004,60대,1008 ,84 ,3 ,
70,죽암 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 내서읍 중리 817-1,게이트볼,580 ,2008,60대,1440 ,120 ,4 ,
71,감천 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 내서읍 감천리1351,게이트볼,374 ,2011,60대,1440 ,120 ,4 ,
72,호계 휘타구장,체육시설,휘타구장,마산회원구,경상남도 창원시 마산회원구 내서읍 호계본동1길 129,휘타구장,335 ,2005,60대,2880 ,240 ,8 ,
