stationId,stationType,stationName,stationAddress,direction,longitude,latitude,localInfo
406000024,현대카드,도순동,서귀포시 대천동,서귀-제주,126.474786,33.252841,대동절물 우측
406001647,일반형,도순초등학교,서귀포시 대천동,"",126.478102,33.248768,""
406001646,각주형,도순초등학교,서귀포시 대천동,"",126.478001,33.24861,""
406000158,정낭형,도영슈퍼,서귀포시 송산동,보목-중앙R,126.60025,33.24225,도영슈퍼 좌측
406000157,일반형,도영슈퍼앞,서귀포시 송산동,중앙R-보목,126.60045,33.241983,도영슈퍼 건너편
405000659,구형,도평동,제주시 외도동,도평-제주대,126.451264,33.480128,도평가든 맞은편(도평방향)
405002280,현대카드,도평로 광평마을입구,제주시 노형동,"",126.461981,33.47914,""
405002279,표지판형,도평로 광평마을입구,제주시 노형동,"",126.462165,33.479285,""
405000658,신형,도평마을입구,제주시 외도동,제주대-도평,126.450884,33.479929,도평가든 앞
405000053,신형,도평초등학교,제주시 외도동,제주대-도평,126.44555,33.481683,21세기주유소 앞
405000052,정낭형,도평초등학교,제주시 외도동,도평-제주대,126.445617,33.48185,다정빌라 좌측
405000194,현대카드,도호동,제주시 연동,제주대-한라대,126.495011,33.48581,이금돈지앞
405000193,현대카드,도호동,제주시 연동,한라대-제주대,126.494923,33.485662,제주청소년교육문화연구소 우측
406001515,각주형,독벌은이 동산,서귀포시 남원읍 수망리,서귀-제주,126.683896,33.368856,더클래식골프앤리조트 맞은편
406001471,각주형,독벌은이 동산,서귀포시 남원읍 수망리,제주-서귀,126.683625,33.368855,더클래식골프앤리조트입구
406002061,"",독자봉,"","",126.857489,33.388564,""
406002060,"",독자봉,"","",126.857449,33.388844,""
406000250,일반형,돈내코,서귀포시 영천동,중앙R-돈내코,126.584822,33.299776,돈내코관리사무소 우측
406000249,일반형,돈내코,서귀포시 영천동,돈내코-중앙R,126.584288,33.299697,관리사무소 입구 맞은편
406002010,"",돈내코 모루,"","",126.578011,33.302221,""
406002009,"",돈내코 모루,"","",126.578232,33.302301,""
406000252,각주형,돈내코교,서귀포시 영천동,중앙R-돈내코,126.588783,33.299617,구도로 3거리 좌측
406000251,각주형,돈내코교,서귀포시 영천동,돈내코-중앙R,126.58862,33.299344,대정농원입구
406002019,"",돈내코마을,"","",126.575681,33.302451,""
406001211,일반형,돈내코마을,서귀포시 영천동,중앙로터리-돈내코,126.572581,33.303587,""
406000248,정낭형,돈내코마을,서귀포시 영천동,돈내코-중앙로터리,126.574624,33.302368,돈내코마을회관 앞
405002772,"",돈대산입구,"","",126.329611,33.949584,""
405002771,"",돈대산입구,"","",126.329641,33.949673,""
406001141,신형,돈물교,서귀포시 남원읍 의귀리,제주-서귀,126.714019,33.314689,의귀사거리 방향
406001120,신형,돈물교,서귀포시 남원읍 의귀리,서귀-제주,126.71425,33.314783,의지천간판 우측
405001680,표지판형,돌선밭,제주시 애월읍,하귀초-제주대,126.425169,33.453969,비닐하우스 맞은편
405001679,표지판형,돌선밭,제주시 애월읍,제대-하귀초,126.425166,33.454153,비닐하우스 앞
406002097,"",돌세기,"","",126.810396,33.335596,""
406002096,"",돌세기,"","",126.810563,33.335653,""
405002509,표지판형,돌하르방캠핑장,제주시 한경면,"",126.24007,33.32123,""
405002508,표지판형,돌하르방캠핑장,제주시 한경면,"",126.239874,33.32129,""
406001479,일반형,돔뱅이왓,서귀포시 예래동,위미-대평,126.36945,33.235157,신축건물앞 
406001306,현대카드,돔뱅이왓,서귀포시 예래동,대평-중앙R,126.369504,33.235002,단독주택 앞
405002673,"",돗곳공원,"","",126.220926,33.337936,""
405002631,"",돗곳공원,"","",126.221682,33.338073,""
405002630,"",돗곳공원,"","",126.221078,33.338302,""
405001459,없음,돗바령,제주시 조천읍,조천도서관-조천도서관,126.689696,33.512424,""
405001458,표지판형,돗바령,제주시 조천읍,조천-선흘,126.689689,33.512301,금빛농원입구
406000132,일반형,돗소,서귀포시 대륜동,천지연-신시가지,126.5352,33.261967,서귀포성결교회 건너편 좌측
406000131,현대카드,돗소,서귀포시 대륜동,신시가지-천지연,126.536133,33.261867,서귀포성결교회 좌측
406001984,"",동가름,"","",126.630053,33.293683,""
406001983,"",동가름,"","",126.629995,33.293576,""
406001591,가상정류소,동광단지,서귀포시 안덕면 동광리,"",126.359659,33.31387,""
