행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시,X좌표,Y좌표,집계구코드,읍면동
서대문구,학원,프라임아카데미학원,서울특별시 서대문구 연희로 160,입시.검정 및 보습,보통교과,"보습,",35,20100818,20231018,950104.175496617,1952599.32724667,11130760010039,서울특별시_서대문구_연희동
중구,학원,눈높이러닝센터신당Leaders학원,서울특별시 중구 다산로 175,입시.검정 및 보습,보통교과,보습,690,20100820,20260607,956978.695505449,1951215.54143595,11020700010004,서울특별시_중구_다산동
마포구,학원,원뮤직아카데미학원,서울특별시 마포구 월드컵로29길 8,기예(대),기예(중),"실용음악(성악),",45,20100819,20231018,947491.669455734,1951387.39562291,11140700010022,서울특별시_마포구_망원2동
영등포구,교습소,삼선생수학교습소,서울특별시 영등포구 디지털로69길 12?,입시.검정 및 보습,보통교과,초등저수학(60분*주5회),12,20100823,20231018,947368.513769549,1944159.84265113,11190700010601,서울특별시_영등포구_대림1동
영등포구,교습소,열정영어교습소,서울특별시 영등포구 디지털로69길 12?,입시.검정 및 보습,보통교과,"초등(저)영어(일70분,주3회)",18,20100823,20231018,947368.513769549,1944159.84265113,11190700010601,서울특별시_영등포구_대림1동
관악구,학원,스터디포스공부훈련소강철학원,서울특별시 관악구 관악로 223,입시.검정 및 보습,보통교과,보습,237,20100823,20260719,951832.1337229,1942982.85434047,11210610010011,서울특별시_관악구_중앙동
동작구,교습소,로드맵수학교습소,서울특별시 동작구 사당로2가길 139,입시.검정 및 보습,보통교과,초등,35,20100810,20260719,952608.278474517,1943356.68628851,11200670010011,서울특별시_동작구_사당5동
광진구,교습소,에콜로지에미술교습소,서울특별시 광진구 아차산로70길 26,예능(대),예능(중),일반미술,90,20100812,20231018,964770.229319486,1949254.94377482,11050630040002,서울특별시_광진구_광장동
송파구,학원,셀라음악학원,서울특별시 송파구 올림픽로35길 10,예능(대),예능(중),음악,40,20100826,20250126,965825.676374349,1946850.22613949,11240750010002,서울특별시_송파구_잠실4동
영등포구,학원,한성냉동용접학원,서울특별시 영등포구 경인로112길 8,직업기술,산업기반기술,기계,560,20100825,20260607,948200.087103808,1946677.29746117,11190740060001,서울특별시_영등포구_영등포동
종로구,교습소,로쉬음악원교습소,서울특별시 종로구 지봉로 81,예능(대),예능(중),피아노(바이엘-고급),20,20100830,20260621,957172.81768485,1953220.86433896,11010690010201,서울특별시_종로구_창신3동
양천구,학원,눈높이러닝센터신서학원,서울특별시 양천구 중앙로 225,입시.검정 및 보습,보통교과,보습?논술,675,20100816,20260607,942916.882802256,1946564.02257366,11150660020004,서울특별시_양천구_신정3동
구로구,학원,튼튼영어매스터클럽구로보습학원,서울특별시 구로구 도림로 90,입시.검정 및 보습,,"보습,",87,20100827,20231029,946377.252886005,1943634.34566321,11170540010007,서울특별시_구로구_구로3동
동대문구,학원,숙명플러스음악학원,서울특별시 동대문구 장한로32길 27,예능(대),예능(중),음악,77,20100902,20260628,962360.624381684,1952970.83794787,11060880020011,서울특별시_동대문구_장안2동
구로구,학원,씨앤엘학원,서울특별시 구로구 경인로59길 8,입시.검정 및 보습,보통교과,보습,40,20100901,20240225,945505.453051204,1945414.35495674,11170510050001,서울특별시_구로구_신도림동
송파구,학원,송파문정청담어학학원,서울특별시 송파구 송이로 157,국제화,외국어,실용외국어(유아/초?중?고),100,20100826,20260426,966871.574053733,1943836.6002171,11240670010008,서울특별시_송파구_가락2동
금천구,교습소,그림터미술교습소,서울특별시 금천구 독산로84길 15?,예능(대),예능(중),"미술일반(일60분,주5회)",3,20100903,20231029,947304.46047113,1941624.97052903,11180540010003,서울특별시_금천구_독산3동
구로구,교습소,극동케네디영어교습소,서울특별시 구로구 구로중앙로7길 28,입시.검정 및 보습,보통교과,,81,20100903,20231029,946007.824478658,1943643.64095675,11170550020102,서울특별시_구로구_구로4동
강서구,교습소,하모니음악교습소,서울특별시 강서구 방화대로47길 55,예능(대),예능(중),초급 피아노,28,20100827,20231018,939391.213963252,1953101.26064353,11160761021001,서울특별시_강서구_방화3동
양천구,교습소,박앤박수학교습소,서울특별시 양천구 목동서로 77,입시.검정 및 보습,보통교과,중등수학C,6,20100830,20260426,945045.764719996,1948698.80674773,11150710010004,서울특별시_양천구_목5동
송파구,학원,이지논술학원,서울특별시 송파구 석촌호수로 142,입시.검정 및 보습,보통교과,보습,20,20100901,20260208,964007.607151836,1945375.91492788,11240640010008,서울특별시_송파구_삼전동
강서구,학원,고등어학원,서울특별시 강서구 강서로45길 49,입시.검정 및 보습,보통교과,보습,60,20030909,20241215,941119.795336479,1950041.14743907,11160580010005,서울특별시_강서구_화곡3동
은평구,학원,임박사수학학원,서울특별시 은평구 연서로 60,입시.검정 및 보습,보통교과,"보습,",45,20100903,20231018,948443.448003677,1956271.6087896,11120740010028,서울특별시_은평구_역촌동
동작구,학원,숭실테리앤제니학원,서울특별시 동작구 상도로41가길 3,기타(대),기타(중),기타(소),168,20100909,20260705,951387.344095876,1944930.94945416,11200530010011,서울특별시_동작구_상도1동
도봉구,학원,도봉창동미술로생각하기학원,서울특별시 도봉구 노해로69길 21,예능(대),예능(중),미술,10,20100908,20231018,960355.561598708,1961624.93638034,11100620020001,서울특별시_도봉구_창4동
성북구,학원,뉴모짜르트음악학원,서울특별시 성북구 길음로13길 24,예능(대),예능(중),"음악,",186,20100830,20260607,957559.692018109,1956697.77406555,11080660030402,서울특별시_성북구_길음1동
종로구,학원,그린한국어학원,서울특별시 종로구 청계천로 61,국제화,국제,어학(성인),73,20100910,20260607,954461.380773439,1952299.95123744,11010610020001,서울특별시_종로구_종로1·2·3·4가동
송파구,교습소,아이디씨아동미술교습소,서울특별시 송파구 가락로 266,예능(대),,"아동미술(주2회,회65분)",7,20030909,20231018,966358.163929108,1945884.85448327,11240570010016,서울특별시_송파구_방이1동
서대문구,교습소,메릭스해법수학교습소,서울특별시 서대문구 증가로12나길 112,입시.검정 및 보습,,초등수학저학년,18,20100909,20231018,948755.73178459,1953903.10662886,11130720010040,서울특별시_서대문구_북가좌2동
서초구,학원,뮤직필리아음악학원,서울특별시 서초구 방배로19길 13,기예(대),기예(중),실용음악(성악),49,20100909,20260607,955292.3611347,1942992.04619823,11220620010006,서울특별시_서초구_방배1동
노원구,학원,역전타에듀학원,서울특별시 노원구 동일로 1280,입시.검정 및 보습,보통교과,보습,0,20100910,20260208,961689.287129446,1960535.00683394,11110780020002,서울특별시_노원구_중계2·3동
양천구,교습소,김학준수학교습소,서울특별시 양천구 목동서로 67,입시.검정 및 보습,보통교과,고등수학,10,20100914,20260712,945095.91009802,1948747.38837142,11150710011501,서울특별시_양천구_목5동
중랑구,교습소,리스트음악교습소,서울특별시 중랑구 동일로157길 60,예능(대),예능(중),바이엘(초급)1,40,20100915,20260809,962427.995569255,1956776.22735531,11070650010002,서울특별시_중랑구_묵2동
종로구,교습소,야나기일본어교습소,서울특별시 종로구 사직로 114,국제화,외국어,일본어,1,20100914,20241215,953319.61926404,1953061.1476578,11010530030001,서울특별시_종로구_사직동
서초구,교습소,에스유(SU)수학교습소,서울특별시 서초구 잠원로8길 25,입시.검정 및 보습,보통교과,초등수학A,6,20100618,20260607,956825.222419329,1946242.29839831,11220550020504,서울특별시_서초구_잠원동
송파구,교습소,김선희꼼꼼국어교습소,서울특별시 송파구 위례성대로12길 34,입시.검정 및 보습,보통교과,"중등국어(4주)(주2회,회160분)",8,20100916,20231018,966516.845532336,1945810.99986399,11240570010006,서울특별시_송파구_방이1동
강남구,학원,킴스애견미용학원,서울특별시 강남구 강남대로 522,직업기술,일반서비스,애견미용,825,20020515,20250928,957828.208463821,1945611.11010809,11230520020013,서울특별시_강남구_논현1동
양천구,학원,에듀플렉스에듀코치개별지도목동학원,서울특별시 양천구 목동서로 349,입시.검정 및 보습,보통교과,보습,700,20100915,20250727,943912.235308505,1946646.62511108,11150690010101,서울특별시_양천구_신정6동
강북구,학원,청수학원,서울특별시 강북구 삼양로 445,입시.검정 및 보습,보통교과,"보습,보습?논술",440,20030904,20231210,957305.771198981,1960518.81401137,11090750010011,서울특별시_강북구_인수동
서대문구,학원,킨더코딩로봇학원,서울특별시 서대문구 가좌로 105,기타(대),기타(중),"기타(소),",24,20100924,20231018,949334.057917057,1953770.18472573,11130680010028,서울특별시_서대문구_홍은2동
중랑구,학원,잉글리쉬무무망우본동학원,서울특별시 중랑구 양원역로 18,입시.검정 및 보습,보통교과,보습,90,20100927,20250112,965453.718372844,1955998.71126539,11070730010201,서울특별시_중랑구_망우본동
동대문구,교습소,엘리영어교습소,서울특별시 동대문구 제기로 82-2,입시.검정 및 보습,보통교과,초등기초영어,15,20100927,20260712,959592.011853255,1954225.89449502,11060820020009,서울특별시_동대문구_제기동
영등포구,학원,파머스해법학원,서울특별시 영등포구 대림로8길 39,입시.검정 및 보습,보통교과,보습?논술,134,20100917,20260201,947595.936727548,1943896.85535342,11190700010009,서울특별시_영등포구_대림1동
구로구,학원,스마트(SMART)러닝센터구로학원,서울특별시 구로구 경인로59길 8,기타(대),기타(중),기타(소),34,20100917,20241215,945505.453051204,1945414.35495674,11170510050001,서울특별시_구로구_신도림동
서대문구,교습소,반올림키즈음악교습소,서울특별시 서대문구 거북골로 191,예능(대),예능(중),피아노초급,15,20130805,20260426,947853.166603594,1953332.83273525,11130710020005,서울특별시_서대문구_북가좌1동
동대문구,교습소,뮤직인음악교습소,서울특별시 동대문구 사가정로 190,예능(대),예능(중),"피아노 초급(바이엘) ,리코더, 오카리나1",81,20100929,20250309,961703.643818105,1953291.11323625,11060840010202,서울특별시_동대문구_전농2동
양천구,학원,이데아논술학원,서울특별시 양천구 오목로56길 14,입시.검정 및 보습,보통교과,보습?논술,40,20100909,20250914,944645.537147637,1947296.76755414,11150510020002,서울특별시_양천구_목1동
동대문구,교습소,김현주음악교습소,서울특별시 동대문구 한천로 300,예능(대),예능(중),중급피아노 1급-3,75,20100930,20260712,961992.168729402,1954266.88757778,11060730010303,서울특별시_동대문구_휘경2동
강서구,학원,서울발레스쿨학원,서울특별시 강서구 수명로 76,예능(대),예능(중),"무용,",20,20100930,20260809,940491.279524316,1950594.32110625,11160670010017,서울특별시_강서구_발산1동
강남구,학원,다원매쓰아이(Math i)2관학원,서울특별시 강남구 도곡로 521,입시.검정 및 보습,보통교과,보습,340,20100929,20241215,961397.90180939,1944611.90996709,11230790020005,서울특별시_강남구_대치2동
송파구,학원,써틴실용음악학원,서울특별시 송파구 백제고분로19길 3,기예(대),기예(중),실용음악(성악),20,20101001,20241215,963448.409227967,1945183.41161881,11240710010012,서울특별시_송파구_잠실본동
강남구,학원,올리브에듀학원,서울특별시 강남구 도곡로 409,입시.검정 및 보습,보통교과,보습?논술,276,20100930,20260614,960679.711436606,1944327.27981046,11230630010021,서울특별시_강남구_대치4동
강동구,학원,아발론랭콘강동어학학원,서울특별시 강동구 양재대로 1665,국제화,외국어,실용외국어(유아/초?중?고),854,20100930,20260607,968562.960943644,1950599.25656677,11250530010006,서울특별시_강동구_명일1동
관악구,교습소,인재미술교습소,서울특별시 관악구 문성로 220,예능(대),예능(중),미술1(초중),18,20100909,20260719,949445.685338112,1942376.42292492,11210650010022,서울특별시_관악구_신원동
