field_1,field_2,field_3,field_4
"2024",마라0467,to_in_001,"43"
"2024",마라0468,to_in_001,"68"
"2024",마라0469,to_in_001,"48"
"2024",마라0484,to_in_001,"120"
"2024",마라0487,to_in_001,"13"
"2024",마라0488,to_in_001,"5"
"2024",마라0490,to_in_001,"77"
"2024",마라0491,to_in_001,"93"
"2024",마라0492,to_in_001,"621"
"2024",마라0493,to_in_001,"7479"
"2024",마라0494,to_in_001,"5616"
"2024",마라0495,to_in_001,"11507"
"2024",마라0496,to_in_001,"432"
"2024",마라0497,to_in_001,"5"
"2024",마라0498,to_in_001,"83"
"2024",마라0538,to_in_001,"8"
"2024",마라0539,to_in_001,"23"
"2024",마라0543,to_in_001,"88"
"2024",마라0548,to_in_001,"0"
"2024",마라0549,to_in_001,"28"
"2024",마라0550,to_in_001,"83"
"2024",마라0551,to_in_001,"33"
"2024",마라0552,to_in_001,"2204"
"2024",마라0553,to_in_001,"2278"
"2024",마라0554,to_in_001,"241"
"2024",마라0555,to_in_001,"359"
"2024",마라0556,to_in_001,"113"
"2024",마라0557,to_in_001,"113"
"2024",마라0558,to_in_001,"1959"
"2024",마라0559,to_in_001,"138"
"2024",마라0560,to_in_001,"153"
"2024",마라0561,to_in_001,"88"
"2024",마라0562,to_in_001,"710"
"2024",마라0563,to_in_001,"1084"
"2024",마라0564,to_in_001,"88"
"2024",마라0565,to_in_001,"78"
"2024",마라0568,to_in_001,"23"
"2024",마라0569,to_in_001,"8"
"2024",마라0583,to_in_001,"2171"
"2024",마라0584,to_in_001,"8688"
"2024",마라0585,to_in_001,"4970"
"2024",마라0586,to_in_001,"245"
"2024",마라0590,to_in_001,"84"
"2024",마라0591,to_in_001,"75"
"2024",마라0592,to_in_001,"4475"
"2024",마라0593,to_in_001,"2055"
"2024",마라0594,to_in_001,"8410"
"2024",마라0595,to_in_001,"6590"
"2024",마라0597,to_in_001,"8"
"2024",마라0598,to_in_001,"339"
"2024",마라0638,to_in_001,"5"
"2024",마라0639,to_in_001,"113"
"2024",마라0644,to_in_001,"28"
"2024",마라0645,to_in_001,"88"
"2024",마라0646,to_in_001,"58"
"2024",마라0647,to_in_001,"173"
"2024",마라0652,to_in_001,"8"
"2024",마라0654,to_in_001,"18"
"2024",마라0656,to_in_001,"43"
"2024",마라0657,to_in_001,"219"
"2024",마라0658,to_in_001,"183"
"2024",마라0659,to_in_001,"5"
"2024",마라0660,to_in_001,"28"
"2024",마라0661,to_in_001,"43"
"2024",마라0662,to_in_001,"28"
"2024",마라0663,to_in_001,"48"
"2024",마라0664,to_in_001,"5"
"2024",마라0665,to_in_001,"23"
"2024",마라0666,to_in_001,"38"
"2024",마라0667,to_in_001,"5"
"2024",마라0674,to_in_001,"13"
"2024",마라0682,to_in_001,"28"
"2024",마라0683,to_in_001,"2674"
"2024",마라0684,to_in_001,"3852"
"2024",마라0685,to_in_001,"1467"
"2024",마라0686,to_in_001,"5"
"2024",마라0689,to_in_001,"8"
"2024",마라0690,to_in_001,"905"
"2024",마라0691,to_in_001,"377"
"2024",마라0692,to_in_001,"5073"
"2024",마라0693,to_in_001,"13771"
"2024",마라0694,to_in_001,"16479"
"2024",마라0695,to_in_001,"10544"
"2024",마라0696,to_in_001,"1111"
"2024",마라0697,to_in_001,"128"
"2024",마라0698,to_in_001,"98"
"2024",마라0699,to_in_001,"21"
"2024",마라0738,to_in_001,"98"
"2024",마라0739,to_in_001,"5"
"2024",마라0747,to_in_001,"133"
"2024",마라0752,to_in_001,"110"
"2024",마라0753,to_in_001,"4929"
"2024",마라0754,to_in_001,"5"
"2024",마라0757,to_in_001,"89"
"2024",마라0758,to_in_001,"359"
"2024",마라0759,to_in_001,"38"
"2024",마라0760,to_in_001,"33"
"2024",마라0761,to_in_001,"5"
"2024",마라0762,to_in_001,"33"
"2024",마라0764,to_in_001,"8"
"2024",마라0765,to_in_001,"5"
"2024",마라0766,to_in_001,"643"
"2024",마라0767,to_in_001,"98"
"2024",마라0768,to_in_001,"48"
"2024",마라0769,to_in_001,"8"
"2024",마라0770,to_in_001,"43"
"2024",마라0771,to_in_001,"143"
"2024",마라0784,to_in_001,"1276"
"2024",마라0785,to_in_001,"9036"
"2024",마라0786,to_in_001,"28"
"2024",마라0787,to_in_001,"5"
"2024",마라0789,to_in_001,"145"
"2024",마라0790,to_in_001,"88"
"2024",마라0791,to_in_001,"7341"
"2024",마라0792,to_in_001,"10882"
"2024",마라0793,to_in_001,"9025"
"2024",마라0794,to_in_001,"10172"
"2024",마라0795,to_in_001,"7842"
"2024",마라0797,to_in_001,"5"
"2024",마라0798,to_in_001,"2127"
"2024",마라0799,to_in_001,"1153"
"2024",마라0846,to_in_001,"28"
"2024",마라0847,to_in_001,"0"
"2024",마라0849,to_in_001,"798"
"2024",마라0850,to_in_001,"33"
"2024",마라0852,to_in_001,"5026"
