도서관명,시군구명,도서관유형,열람좌석수,자료수(도서),소재지도로명주소,운영기관명,홈페이지주소,위도,경도
자여마을도서관,창원시,작은도서관,36,18399,경상남도 창원시 의창구 동읍 자여로 64,동읍주민자치회,,35.27732449,128.700235
반딧불이도서관,창원시,작은도서관,30,15543,경상남도 창원시 의창구 북면 천주로 1085,북면주민자치회,,35.347947,128.6073132
봉림작은도서관,창원시,작은도서관,27,14645,경상남도 창원시 의창구 창이대로259번길 19(봉곡동),(재)한가람문화재단,,35.24782998,128.666819
용지호수어울림도서관,창원시,작은도서관,20,4391,경상남도 창원시 성산구 용지로211번길 21(용지동),용지동주민자치회,,35.23383362,128.682604
늘푸른도서관,창원시,작은도서관,21,17463,경상남도 창원시 성산구 외동반림로134번길 15(중앙동),중앙동새마을문고회,,35.229753,128.6741132
안민마을도서관,창원시,작은도서관,36,14564,경상남도 창원시 성산구 안민안길 34(안민동),성주동주민자치회,,35.18723721,128.692676
안민청솔마을도서관,창원시,작은도서관,138,15317,경상남도 창원시 성산구 안민로117번길 17(안민동),성주동주민자치회,,35.18740864,128.6897059
반월작은도서관,창원시,작은도서관,30,15541,경상남도 창원시 마산합포구 3·15대로 121(중앙동1가),반월중앙동주민자치회,,35.19036173,128.562451
부림희망작은도서관,창원시,작은도서관,25,10411,경상남도 창원시 마산합포구 3·15대로 351(부림동),오동동새마을문고,,35.20627383,128.5729547
현동작은도서관,창원시,작은도서관,26,8971,경상남도 창원시 마산합포구 현동7길 27(현동),현동주민자치회,,35.14988761,128.5537934
꿈꾸는산호작은도서관,창원시,작은도서관,29,7489,경상남도 창원시 마산합포구 용마로 30(여성회관 마산관 1층),(사)한국인성교육학회,,35.21649814,128.5790896
고운작은도서관,창원시,작은도서관,30,6515,경상남도 창원시 마산합포구 월영마을로 3(월영동),월영동주민자치회,,35.17375179,128.5580464
신추산작은도서관,창원시,작은도서관,21,3264,경상남도 창원시 마산합포구 문신길 169(오동동),㈜라온아트앤컬처,,35.20706717,128.5696019
상곡어울림작은도서관,창원시,작은도서관,50,14032,경상남도 창원시 마산회원구 내서읍 상곡로 16,(사)창원시새마을회,,35.24279619,128.5037042
합성가고파작은도서관,창원시,작은도서관,30,12271,경상남도 창원시 마산회원구 합성서3길 21(합성동),합성1동주민자치회,,35.24218587,128.5838997
봉암동작은도서관,창원시,작은도서관,20,10206,경상남도 창원시 마산회원구 봉암북2길 31(봉암동),㈜라온아트앤컬처,,35.22128334,128.5972012
여좌작은도서관,창원시,작은도서관,36,4348,경상남도 창원시 진해구 여좌천로 64-1(여좌동),블라썸여좌사회적협동조합,,35.15867283,128.6602155
