"X2","X4_합"
"라라1070",18
"라라1071",26
"라라1072",60
"라라1074",5
"라라1075",13
"라라1085",21
"라라1087",10
"라라1088",5
"라라1097",13
"라라1098",16
"라라1122",13
"라라1124",8
"라라1125",15
"라라1126",34
"라라1127",57
"라라1129",41
"라라1131",0
"라라1132",21
"라라1133",15
"라라1135",129
"라라1136",13
"라라1137",53
"라라1138",34
"라라1139",65
"라라1140",10
"라라1141",16
"라라1142",5
"라라1143",60
"라라1144",141
"라라1145",53
"라라1146",36
"라라1147",25
"라라1149",39
"라라1153",0
"라라1157",46
"라라1160",21
"라라1161",10
"라라1162",45
"라라1163",34
"라라1164",60
"라라1166",11
"라라1167",40
"라라1168",47
"라라1169",31
"라라1170",41
"라라1171",0
"라라1172",26
"라라1173",5
"라라1174",33
"라라1186",10
"라라1187",16
"라라1188",67
"라라1189",28
"라라1195",0
"라라1196",10
"라라1197",5
"라라1219",5
"라라1224",36
"라라1225",73
"라라1226",13
"라라1227",0
"라라1229",5
"라라1234",26
"라라1235",15
"라라1236",13
"라라1237",23
"라라1238",5
"라라1239",10
"라라1240",0
"라라1241",6
"라라1242",68
"라라1243",66
"라라1244",150
"라라1245",43
"라라1246",10
"라라1249",52
"라라1250",5
"라라1257",5
"라라1261",0
"라라1263",18
"라라1264",13
"라라1283",16
"라라1285",10
"라라1286",18
"라라1287",36
"라라1289",41
"라라1290",51
"라라1291",31
"라라1292",29
"라라1293",51
"라라1294",31
"라라1295",5
"라라1296",15
"라라1299",5
"라라1319",42
"라라1320",10
"라라1322",0
"라라1324",0
"라라1325",5
"라라1326",0
"라라1337",16
"라라1338",532
"라라1339",629
"라라1340",556
"라라1341",1715
"라라1342",391
"라라1343",45
"라라1344",28
"라라1345",28
"라라1357",0
"라라1358",35
"라라1360",5
"라라1361",5
"라라1363",8
"라라1364",24
"라라1365",0
"라라1368",5
"라라1369",23
"라라1382",8
"라라1383",23
"라라1384",23
"라라1385",34
"라라1386",16
"라라1390",16
"라라1391",26
"라라1392",36
"라라1393",13
"라라1394",5
"라라1396",0
"라라1399",26
"라라1419",76
"라라1420",21
"라라1421",0
"라라1422",28
"라라1439",110
"라라1440",975
"라라1441",1148
"라라1442",96
"라라1443",42
"라라1444",5
"라라1457",95
"라라1458",36
"라라1459",21
"라라1460",8
"라라1461",5
"라라1462",23
"라라1464",5
"라라1465",16
"라라1466",0
"라라1467",36
"라라1468",16
"라라1471",5
"라라1472",8
"라라1478",5
"라라1484",18
"라라1485",10
"라라1486",8
"라라1487",15
"라라1488",5
"라라1491",0
"라라1497",10
"라라1519",40
"라라1520",21
"라라1540",2391
"라라1541",670
"라라1542",27
"라라1543",114
"라라1544",24
"라라1558",5
"라라1559",29
"라라1560",5
"라라1562",5
"라라1563",15
"라라1564",21
"라라1565",23
"라라1566",16
"라라1567",15
"라라1568",0
"라라1571",0
"라라1577",8
"라라1582",0
"라라1583",18
"라라1619",0
"라라1639",0
"라라1640",1072
"라라1641",131
"라라1642",5
"라라1643",0
"라라1659",28
"라라1660",190
"라라1661",579
"라라1662",15
"라라1664",23
"라라1665",15
"라라1666",35
"라라1667",38
"라라1668",13
"라라1669",5
"라라1672",0
"라라1673",26
"라라1674",8
"라라1675",21
"라라1676",8
"라라1679",23
"라라1680",10
"라라1681",10
"라라1682",5
"라라1683",13
"라라1684",5
"라라1685",0
"라라1719",28
"라라1721",18
"라라1739",2734
"라라1740",831
"라라1741",1845
"라라1742",0
"라라1743",1018
"라라1759",1738
"라라1760",2338
"라라1761",896
"라라1762",5
"라라1763",0
"라라1764",5
"라라1766",10
"라라1767",21
"라라1768",0
"라라1769",18
"라라1772",23
"라라1773",26
"라라1774",13
"라라1778",31
"라라1779",5
"라라1780",18
"라라1781",34
"라라1783",0
"라라1784",114
"라라1785",20
"라라1786",10
"라라1815",0
"라라1823",24
"라라1834",24
"라라1836",938
"라라1837",13
"라라1838",32
"라라1839",5007
"라라1840",1274
"라라1841",1777
"라라1842",697
"라라1843",59
"라라1845",0
"라라1854",13
"라라1855",5
"라라1859",429
"라라1860",372
"라라1861",39
"라라1862",0
"라라1864",40
"라라1865",106
"라라1866",120
"라라1868",0
"라라1870",5
"라라1871",5
"라라1872",5
"라라1876",31
"라라1877",18
"라라1878",18
"라라1879",26
"라라1880",5
"라라1881",13
"라라1882",21
"라라1883",71
"라라1884",36
"라라1885",31
"라라1886",28
"라라1887",13
"라라1888",0
"라라1893",5
"라라1894",13
"라라1915",28
"라라1921",10
"라라1923",35
"라라1924",13
"라라1927",5
"라라1934",13
"라라1936",436
"라라1937",2882
"라라1938",380
"라라1939",1398
"라라1940",1356
"라라1941",1624
"라라1942",18
"라라1943",5
"라라1944",5
"라라1945",39
"라라1952",0
"라라1953",115
"라라1954",62
"라라1955",19
"라라1959",461
"라라1960",643
"라라1961",14
"라라1962",5
"라라1963",2387
"라라1964",40
"라라1965",26
"라라1966",47
"라라1967",58
"라라1968",21
"라라1969",161
"라라1970",5
"라라1971",0
"라라1972",18
"라라1975",13
"라라1976",15
"라라1977",61
"라라1980",13
"라라1983",46
"라라1984",69
"라라1985",86
"라라1986",66
"라라1987",44
"라라1988",31
"라라1989",32
"라라1990",0
"라라1993",8
"라라1994",8
"라라1998",0
"라라2013",0
"라라2017",10
"라라2018",7
"라라2019",5
"라라2020",53
"라라2021",10
"라라2024",189
"라라2025",5
"라라2026",67
"라라2027",74
"라라2028",18
"라라2034",24
"라라2035",101
"라라2036",54
"라라2037",1146
"라라2038",1652
"라라2039",634
"라라2040",813
"라라2041",17
"라라2042",54
"라라2046",48
"라라2047",36
"라라2048",16
"라라2051",0
"라라2054",5
"라라2055",55
"라라2059",488
"라라2060",1294
"라라2061",15
"라라2062",262
"라라2063",615
"라라2066",37
"라라2067",51
"라라2068",26
"라라2069",70
"라라2070",43
"라라2071",32
"라라2072",5
"라라2073",0
"라라2074",37
"라라2075",21
"라라2076",26
"라라2077",10
"라라2084",15
"라라2085",38
"라라2086",15
"라라2087",16
"라라2088",13
"라라2089",5
"라라2091",5
"라라2093",10
"라라2098",21
"라라2099",0
"라라2113",5
"라라2114",36
"라라2115",5
"라라2117",13
"라라2118",8
"라라2119",44
"라라2120",36
"라라2121",56
"라라2123",15
"라라2124",13
"라라2125",0
"라라2126",18
"라라2127",5
"라라2128",0
"라라2129",36
"라라2137",198
"라라2138",1658
"라라2139",748
"라라2140",675
"라라2142",35
"라라2145",10
"라라2146",55
"라라2147",37
"라라2148",121
"라라2149",15
"라라2155",8
"라라2160",1176
"라라2161",10
"라라2163",0
"라라2164",34
"라라2165",36
"라라2166",29
"라라2167",36
"라라2170",8
"라라2171",5
"라라2172",0
"라라2173",21
"라라2174",37
"라라2175",54
"라라2176",5
"라라2177",83
"라라2178",13
"라라2179",5
"라라2192",21
"라라2193",13
"라라2194",13
"라라2198",18
"라라2212",28
"라라2213",5
"라라2214",8
"라라2215",5
"라라2219",10
"라라2222",21
"라라2223",77
"라라2224",67
"라라2226",13
"라라2227",41
"라라2229",13
"라라2230",65
"라라2236",64
"라라2237",91
"라라2238",1711
"라라2239",472
"라라2240",13
"라라2242",107
"라라2243",5
"라라2244",15
"라라2248",32
"라라2249",0
"라라2255",0
"라라2260",315
"라라2261",180
"라라2263",5
"라라2264",71
"라라2265",21
"라라2266",34
"라라2267",0
"라라2272",25
"라라2273",5
"라라2274",544
"라라2275",564
"라라2276",24
"라라2279",22
"라라2283",0
"라라2287",5
"라라2288",10
"라라2289",0
"라라2291",5
"라라2296",5
"라라2297",26
"라라2298",8
"라라2299",0
"라라2312",13
"라라2313",5
"라라2314",5
"라라2315",13
"라라2316",18
"라라2317",16
"라라2320",43
"라라2322",21
"라라2327",21
"라라2328",15
"라라2330",51
"라라2331",5
"라라2334",13
"라라2335",10
"라라2336",18
"라라2337",15
"라라2338",5
"라라2343",5
"라라2344",109
"라라2360",63
"라라2361",59
"라라2363",18
"라라2364",40
"라라2365",65
"라라2366",16
"라라2367",10
"라라2368",10
"라라2369",26
"라라2370",62
"라라2371",54
"라라2372",46
"라라2373",5
"라라2374",51
"라라2375",403
"라라2376",10
"라라2378",26
"라라2380",23
"라라2381",36
"라라2382",0
"라라2383",16
"라라2387",10
"라라2394",5
"라라2397",0
"라라2398",10
"라라2399",15
"라라2411",13
"라라2412",50
"라라2413",44
"라라2414",13
"라라2415",31
"라라2418",5
"라라2422",89
"라라2426",26
"라라2427",37
"라라2428",34
"라라2429",18
"라라2430",21
"라라2431",0
"라라2432",15
"라라2433",29
"라라2435",21
"라라2436",39
"라라2445",18
