"X1","X2","X3","X4","source_file"
2024,"라라0087","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0088","ho_yr_001",15,"2024년_주택_라라_1K.csv"
2024,"라라0088","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0089","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0089","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0089","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0090","ho_yr_001",24,"2024년_주택_라라_1K.csv"
2024,"라라0090","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0090","ho_yr_003",19,"2024년_주택_라라_1K.csv"
2024,"라라0091","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0091","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0091","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0096","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0106","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0106","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0106","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0107","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0125","ho_yr_001",21,"2024년_주택_라라_1K.csv"
2024,"라라0125","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0125","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0126","ho_yr_001",6,"2024년_주택_라라_1K.csv"
2024,"라라0126","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0126","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0140","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0140","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0140","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0153","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0158","ho_yr_001",20,"2024년_주택_라라_1K.csv"
2024,"라라0158","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0158","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0160","ho_yr_001",24,"2024년_주택_라라_1K.csv"
2024,"라라0160","ho_yr_002",13,"2024년_주택_라라_1K.csv"
2024,"라라0160","ho_yr_003",704,"2024년_주택_라라_1K.csv"
2024,"라라0161","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0161","ho_yr_002",313,"2024년_주택_라라_1K.csv"
2024,"라라0161","ho_yr_003",4889,"2024년_주택_라라_1K.csv"
2024,"라라0162","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0162","ho_yr_002",594,"2024년_주택_라라_1K.csv"
2024,"라라0162","ho_yr_003",1171,"2024년_주택_라라_1K.csv"
2024,"라라0163","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0163","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0163","ho_yr_003",3053,"2024년_주택_라라_1K.csv"
2024,"라라0164","ho_yr_001",26,"2024년_주택_라라_1K.csv"
2024,"라라0164","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0164","ho_yr_003",1870,"2024년_주택_라라_1K.csv"
2024,"라라0165","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0165","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0165","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0166","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0166","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0167","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0167","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0168","ho_yr_001",6,"2024년_주택_라라_1K.csv"
2024,"라라0168","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0168","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0175","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0175","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0180","ho_yr_001",12,"2024년_주택_라라_1K.csv"
2024,"라라0182","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0186","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0187","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0187","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0187","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0188","ho_yr_001",19,"2024년_주택_라라_1K.csv"
2024,"라라0188","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0188","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0189","ho_yr_001",39,"2024년_주택_라라_1K.csv"
2024,"라라0189","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0189","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0190","ho_yr_001",31,"2024년_주택_라라_1K.csv"
2024,"라라0190","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0190","ho_yr_003",24,"2024년_주택_라라_1K.csv"
2024,"라라0191","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0192","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0192","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0223","ho_yr_001",0,"2024년_주택_라라_1K.csv"
2024,"라라0246","ho_yr_003",0,"2024년_주택_라라_1K.csv"
2024,"라라0249","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0249","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0249","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0250","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0250","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0250","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0251","ho_yr_001",23,"2024년_주택_라라_1K.csv"
2024,"라라0251","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0251","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0252","ho_yr_001",18,"2024년_주택_라라_1K.csv"
2024,"라라0252","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0252","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0253","ho_yr_001",28,"2024년_주택_라라_1K.csv"
2024,"라라0253","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0253","ho_yr_003",27,"2024년_주택_라라_1K.csv"
2024,"라라0254","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0254","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0254","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0255","ho_yr_001",14,"2024년_주택_라라_1K.csv"
